Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,20,3,15,12
2025,7,July,26,27,80,40
2025,6,June,20,11,62,34
2025,5,May,15,16,39,55
2025,4,April,25,8,47,53
2025,3,March,4,3,57,48
2025,2,February,28,30,46,42
2025,1,January,3,7,7,47
2024,12,December,22,13,58,38
2024,11,November,32,36,34,39
2024,10,October,12,11,39,28
2024,9,September,14,8,38,19
2024,8,August,7,7,40,43
2024,7,July,6,14,67,56
2024,6,June,19,14,57,24
2024,5,May,18,14,80,62
2024,4,April,8,6,84,53
2024,3,March,7,2,64,65
2024,2,February,4,8,85,59
2024,1,January,10,3,41,45
2023,12,December,15,15,57,68
2023,11,November,10,1,44,39
2023,10,October,32,17,28,41
2023,9,September,11,5,42,64
2023,8,August,21,20,20,56
2023,7,July,8,1,64,48
2023,6,June,40,20,64,80
2023,5,May,11,0,55,50
2023,4,April,33,4,45,44
2023,3,March,28,19,59,47
2023,2,February,9,9,57,71
2023,1,January,11,14,58,77
2022,12,December,17,17,281,253
2022,11,November,24,23,56,133
2022,10,October,23,7,48,62
2022,9,September,14,15,46,40
2022,8,August,16,22,33,50
2022,7,July,18,12,53,22
2022,6,June,27,20,21,17
2022,5,May,7,16,31,30
2022,4,April,5,5,24,18
2022,3,March,7,1,6,25
2022,2,February,15,22,46,18
2022,1,January,1,6,12,12
2021,12,December,4,4,29,30
2021,11,November,10,9,11,12
2021,10,October,21,6,21,21
2021,9,September,6,4,8,10
2021,8,August,9,8,23,21
2021,7,July,14,4,38,2
2021,6,June,4,1,4,4
2021,5,May,1,1,22,13
2021,4,April,1,8,5,9
2021,3,March,1,0,5,10
2021,2,February,0,0,4,2
2021,1,January,12,0,12,24
2020,12,December,0,0,17,2
2020,11,November,2,0,4,8
2020,9,September,6,0,0,8
2020,8,August,0,0,13,9
2020,7,July,0,0,8,39
2020,6,June,0,4,7,0
2020,5,May,3,3,0,0
2020,4,April,1,0,0,0
2020,3,March,17,27,7,25
2020,2,February,32,16,38,49
2020,1,January,16,28,32,40
2019,12,December,23,17,38,44
2019,11,November,46,27,50,46
2019,10,October,48,23,30,55
2019,9,September,102,32,75,46
2019,8,August,50,15,80,74
2019,7,July,20,14,58,91
2019,6,June,68,29,88,69
2019,5,May,37,22,37,56
2019,4,April,59,45,27,46
2019,3,March,34,43,38,58
2019,2,February,14,18,60,64
2019,1,January,26,21,33,32
