Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,9,18,97,101
2025,7,July,0,6,152,95
2025,6,June,2,6,87,42
2025,5,May,2,11,106,63
2025,4,April,17,14,186,126
2025,3,March,8,40,152,109
2025,2,February,10,42,55,70
2025,1,January,28,77,99,69
2024,12,December,6,28,171,63
2024,11,November,4,14,94,104
2024,10,October,7,15,42,20
2024,9,September,11,13,49,16
2024,8,August,4,10,129,142
2024,7,July,3,9,154,153
2024,6,June,1,6,200,126
2024,5,May,4,8,158,99
2024,4,April,8,13,154,72
2024,3,March,10,35,180,72
2024,2,February,13,6,66,81
2024,1,January,17,46,67,68
2023,12,December,8,6,154,63
2023,11,November,10,29,112,46
2023,10,October,7,25,55,19
2023,9,September,8,11,63,53
2023,8,August,1,13,72,52
2023,7,July,12,7,108,81
2023,6,June,12,10,129,118
2023,5,May,10,22,110,78
2023,4,April,3,16,155,46
2023,3,March,29,57,190,153
2023,2,February,18,38,80,48
2023,1,January,56,73,91,117
2022,12,December,3,6,121,77
2022,11,November,12,35,79,31
2022,10,October,10,4,62,34
2022,9,September,9,6,34,49
2022,8,August,0,0,58,65
2022,7,July,1,12,123,66
2022,6,June,5,6,121,64
2022,5,May,4,9,80,46
2022,4,April,30,25,119,85
2022,3,March,32,15,145,63
2022,2,February,11,14,76,65
2022,1,January,17,34,55,72
2021,12,December,18,6,156,66
2021,11,November,0,7,35,38
2021,10,October,18,14,118,45
2021,9,September,13,1,21,14
2021,8,August,0,3,48,31
2021,7,July,3,15,117,102
2021,6,June,2,0,44,53
2021,5,May,3,4,97,70
2021,4,April,4,2,115,53
2021,3,March,1,2,70,74
2021,2,February,0,5,60,39
2021,1,January,21,11,21,54
2020,12,December,6,4,50,58
2020,11,November,4,11,22,0
2020,10,October,6,4,28,19
2020,9,September,0,4,15,21
2020,8,August,0,0,21,20
2020,7,July,0,0,37,57
2020,6,June,2,2,12,3
2020,5,May,0,2,2,2
2020,4,April,0,2,3,10
2020,3,March,429,13,55,40
2020,2,February,1077,13,59,74
2020,1,January,212,39,89,58
2019,12,December,3,47,99,61
2019,11,November,620,21,57,70
2019,10,October,3,15,53,27
2019,9,September,2,9,95,69
2019,8,August,0,0,66,37
2019,7,July,7,12,91,90
2019,6,June,1,4,156,80
2019,5,May,590,7,160,88
2019,4,April,1275,124,103,77
2019,3,March,966,23,150,76
2019,2,February,1040,289,147,61
2019,1,January,196,38,101,56
