Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,79496,84056,128694,153369
2025,7,July,76605,68697,175639,194192
2025,6,June,61089,65127,190908,196046
2025,5,May,65381,70003,168033,149437
2025,4,April,67779,68820,114917,120403
2025,3,March,62111,69749,152596,152173
2025,2,February,61763,59439,101691,103543
2025,1,January,64634,68770,104322,124310
2024,12,December,71739,68495,139288,128910
2024,11,November,53056,57495,115425,115465
2024,10,October,60079,65831,114469,126277
2024,9,September,66251,67244,110002,113911
2024,8,August,79386,81303,117313,136927
2024,7,July,74910,66412,162076,175219
2024,6,June,60917,62399,175867,172281
2024,5,May,62681,65862,148793,133351
2024,4,April,62291,66776,117675,123434
2024,3,March,64675,65499,142108,141643
2024,2,February,59347,55163,101044,100504
2024,1,January,59393,62447,102411,120414
2023,12,December,66878,63256,127539,114115
2023,11,November,50417,55555,105411,108280
2023,10,October,52392,57359,100415,115292
2023,9,September,54941,56145,98401,97976
2023,8,August,69070,69035,101321,121303
2023,7,July,61378,54726,139903,153127
2023,6,June,46978,46975,148371,148393
2023,5,May,52568,50695,123707,115009
2023,4,April,56764,59046,109591,117954
2023,3,March,53155,53164,127722,126322
2023,2,February,48199,43990,80618,83783
2023,1,January,51760,53111,88057,102620
2022,12,December,53654,50264,105667,98811
2022,11,November,40458,42522,87908,92586
2022,10,October,43370,46341,87567,99393
2022,9,September,46699,46665,92520,95037
2022,8,August,55594,55523,96756,117504
2022,7,July,52934,47236,127227,139595
2022,6,June,40788,41420,132284,129128
2022,5,May,39896,40076,101489,92335
2022,4,April,42185,42102,84670,88908
2022,3,March,35649,35515,99387,96493
2022,2,February,31158,27463,68813,69091
2022,1,January,28755,30397,62593,78395
2021,12,December,36221,34494,87478,78802
2021,11,November,26102,24298,71421,75693
2021,10,October,26473,23188,65498,69104
2021,9,September,23475,20280,55372,55245
2021,8,August,29930,24472,61986,78552
2021,7,July,24180,19238,88740,90169
2021,6,June,15514,13340,80428,79770
2021,5,May,13543,10654,63186,60959
2021,4,April,10710,10217,49735,54611
2021,3,March,10762,8648,45907,42274
2021,2,February,9228,8368,25723,25169
2021,1,January,16019,13674,26414,36185
2020,12,December,15347,13059,35723,30597
2020,11,November,7892,7487,27370,27645
2020,10,October,6190,5200,17170,16111
2020,9,September,5275,4122,11153,10764
2020,8,August,5563,4984,10472,11296
2020,7,July,2041,1457,6164,5602
2020,6,June,429,284,429,336
2020,5,May,3,5,68,51
2020,4,April,3,17,2,23
2020,3,March,21230,31326,38232,55659
2020,2,February,52261,48801,72724,77775
2020,1,January,55603,55546,73443,89453
2019,12,December,56183,52157,91173,84530
2019,11,November,39594,40872,72817,75393
2019,10,October,45495,47793,69297,79139
2019,9,September,50761,51735,70193,71662
2019,8,August,62007,62458,74485,88584
2019,7,July,59929,50985,99280,108977
2019,6,June,48403,47528,108713,107970
2019,5,May,48122,49453,95979,88067
2019,4,April,51304,48849,74462,81953
2019,3,March,46671,49133,92516,94453
2019,2,February,46467,45003,65277,66529
2019,1,January,50688,51579,68027,81569
