Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,6,June,1,0,9,0
2025,5,May,0,4,1,0
2025,2,February,0,1,4,0
2025,1,January,0,0,9,0
2024,5,May,0,4,3,0
2024,4,April,0,2,6,0
2024,3,March,0,0,6,0
2024,1,January,0,0,3,0
2023,12,December,0,0,4,0
2023,4,April,0,0,6,0
2023,1,January,0,0,6,0
2022,9,September,0,0,2,0
2022,7,July,0,0,5,0
2022,4,April,0,0,6,0
2022,3,March,0,0,3,0
2021,7,July,0,0,3,0
2019,12,December,0,0,7,0
2019,11,November,0,0,5,0
2019,8,August,0,0,5,0
2019,7,July,0,0,9,0
2019,6,June,0,0,6,0
2019,4,April,0,0,6,0
2019,3,March,0,0,15,0
2019,1,January,0,0,3,0
