Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,67646,66943,112993,123558
2025,7,July,57903,52402,126740,135416
2025,6,June,50280,49832,132780,123208
2025,5,May,51221,54322,116688,103901
2025,4,April,49914,43213,96480,102853
2025,3,March,47542,44638,116471,113983
2025,2,February,39254,36412,83054,87254
2025,1,January,53235,47239,84146,100360
2024,12,December,48042,54483,97929,90012
2024,11,November,38415,45738,69759,72995
2024,10,October,50883,49448,85724,97579
2024,9,September,50412,47169,98058,98028
2024,8,August,68360,61799,102694,113179
2024,7,July,61884,51393,112183,121583
2024,6,June,50658,52294,124343,110697
2024,5,May,49939,54891,102232,91326
2024,4,April,46647,40934,85735,93123
2024,3,March,49058,44928,108967,110769
2024,2,February,36939,36109,85676,83793
2024,1,January,49164,42917,77343,92368
2023,12,December,45977,53574,95330,85386
2023,11,November,35848,40244,70537,72817
2023,10,October,42591,40336,79693,94879
2023,9,September,43372,40329,93859,87768
2023,8,August,57218,53444,88080,99863
2023,7,July,52510,44892,103661,114145
2023,6,June,42079,43496,113559,101400
2023,5,May,43757,46303,92976,81490
2023,4,April,41285,37667,79083,87221
2023,3,March,40980,37932,98310,93456
2023,2,February,31292,27660,70312,68979
2023,1,January,42189,35641,72687,83233
2022,12,December,35982,43230,77803,68553
2022,11,November,29540,32926,54575,56993
2022,10,October,34261,32851,57978,68876
2022,9,September,35114,34089,70938,68158
2022,8,August,46287,40962,66507,78332
2022,7,July,40040,35701,79553,88611
2022,6,June,32917,34192,85763,74785
2022,5,May,29216,32024,65532,58604
2022,4,April,25263,24386,52362,55691
2022,3,March,21632,21740,61680,57972
2022,2,February,13873,12587,38499,36822
2022,1,January,20370,16748,34892,43608
2021,12,December,21559,26680,46103,41861
2021,11,November,21001,20279,35815,36385
2021,10,October,19030,18601,36215,37912
2021,9,September,17817,15383,32608,33103
2021,8,August,24002,16183,35015,40210
2021,7,July,15647,14961,35378,33537
2021,6,June,10155,11831,29477,27385
2021,5,May,8346,9635,22831,21634
2021,4,April,6365,5491,12276,14492
2021,3,March,6615,5581,17174,17175
2021,2,February,5020,5851,14185,13585
2021,1,January,10641,8135,15192,20201
2020,12,December,8107,11993,20636,16455
2020,11,November,5894,9246,11551,11828
2020,10,October,6452,8278,12524,12450
2020,9,September,6286,6924,7538,7666
2020,8,August,8737,7974,7339,8056
2020,7,July,5374,7268,5271,6701
2020,6,June,4225,5766,2864,5213
2020,5,May,2025,5067,1354,2272
2020,4,April,2470,6924,926,1982
2020,3,March,19246,29222,30224,52734
2020,2,February,43800,40279,71111,75307
2020,1,January,65330,55833,77329,88063
2019,12,December,56577,70674,94805,85668
2019,11,November,48265,56487,73460,78089
2019,10,October,61166,64502,92075,97860
2019,9,September,65277,64723,96166,94981
2019,8,August,82305,80477,101815,112211
2019,7,July,77137,66942,113822,122264
2019,6,June,63586,66757,125145,112434
2019,5,May,62962,73056,106277,95971
2019,4,April,64809,58740,94885,103842
2019,3,March,61002,61283,114139,108496
2019,2,February,49719,49494,74000,73045
2019,1,January,70892,59656,76329,83445
