Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,5,May,2,2,0,0
2025,4,April,0,2,0,0
2025,3,March,0,0,0,17
2025,1,January,0,0,0,6
2024,11,November,0,0,0,1
2024,6,June,0,0,1,1
2024,5,May,0,0,0,9
2024,4,April,1,1,1,1
2024,3,March,0,0,0,3
2024,2,February,0,2,4,0
2024,1,January,0,0,3,0
2023,12,December,0,0,0,2
2023,11,November,15,7,0,0
2023,10,October,1,0,0,6
2023,8,August,2,0,0,0
2023,5,May,0,1,0,2
2023,3,March,13,8,1,1
2023,2,February,0,0,0,1
2023,1,January,0,0,1,0
2022,11,November,7,8,8,6
2022,10,October,0,0,2,1
2022,9,September,1,0,0,5
2022,8,August,1,0,1,0
2022,6,June,2,2,1,1
2022,5,May,1,0,0,1
2022,4,April,0,0,3,2
2021,12,December,1,0,0,10
2021,11,November,0,0,2,0
2021,10,October,5,4,3,1
2021,8,August,0,0,0,1
2021,6,June,0,0,1,1
2021,1,January,0,0,1,0
2020,12,December,0,0,1,2
2020,11,November,0,0,0,1
2020,10,October,0,0,4,0
2020,7,July,0,0,2,2
2020,3,March,0,1,15,2
2020,2,February,0,0,1,1
2019,12,December,0,0,0,4
2019,6,June,0,0,1,1
2019,5,May,0,0,2,7
2019,4,April,0,0,2,0
2019,3,March,0,0,0,3
2019,2,February,0,1,3,0
