Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,2,0,143,118
2025,7,July,10,4,290,302
2025,6,June,2,5,203,174
2025,5,May,2,5,126,121
2025,4,April,1,0,68,167
2025,3,March,1,0,118,121
2025,2,February,1,0,25,68
2025,1,January,21,0,41,218
2024,12,December,5,2,333,179
2024,11,November,11,3,148,87
2024,10,October,3,8,202,143
2024,9,September,1,6,155,86
2024,8,August,26,7,247,219
2024,7,July,7,12,229,225
2024,6,June,2,8,332,176
2024,5,May,1,5,222,448
2024,4,April,6,7,342,194
2024,3,March,5,6,286,205
2024,2,February,4,4,147,123
2024,1,January,1,3,120,105
2023,12,December,0,12,182,189
2023,11,November,14,3,109,246
2023,10,October,1,4,263,153
2023,9,September,1,3,180,276
2023,8,August,10,7,350,265
2023,7,July,10,8,215,251
2023,6,June,8,11,443,343
2023,5,May,2,4,139,112
2023,4,April,12,5,214,39
2023,3,March,1,1,66,83
2023,2,February,0,1,155,62
2023,1,January,3,0,67,122
2022,12,December,10,8,177,148
2022,11,November,0,4,79,49
2022,10,October,3,1,126,149
2022,9,September,13,3,121,103
2022,8,August,12,0,194,189
2022,7,July,3,4,170,158
2022,6,June,12,2,100,145
2022,5,May,2,4,14,84
2022,4,April,0,0,0,53
2022,3,March,0,0,0,132
2022,2,February,10,0,1,39
2022,1,January,0,0,20,63
2021,12,December,0,0,1,38
2021,11,November,0,0,0,38
2021,10,October,0,0,0,141
2021,9,September,1,0,8,32
2021,8,August,1,0,6,34
2021,7,July,1,0,15,24
2021,6,June,0,1,19,111
2021,5,May,0,0,4,58
2021,4,April,1,1,14,90
2021,3,March,25,0,0,30
2021,2,February,0,0,19,37
2021,1,January,0,1,33,26
2020,12,December,0,0,1,73
2020,11,November,0,0,6,14
2020,10,October,0,0,13,55
2020,9,September,0,1,5,64
2020,8,August,0,0,5,75
2020,7,July,2,0,22,78
2020,6,June,18,1,38,32
2020,5,May,15,1,20,41
2020,4,April,0,0,4,47
2020,3,March,3,3,31,98
2020,2,February,7,4,84,196
2020,1,January,10,7,138,207
2019,12,December,7,5,103,324
2019,11,November,4,0,49,191
2019,10,October,3,2,81,181
2019,9,September,7,5,141,202
2019,8,August,27,1,151,509
2019,7,July,32,8,164,761
2019,6,June,36,21,318,442
2019,5,May,9,5,73,318
2019,4,April,20,2,168,331
2019,3,March,2,2,66,200
2019,2,February,9,2,41,137
2019,1,January,18,9,128,252
