Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,13,0
2025,6,June,0,0,7,0
2024,10,October,0,0,1,0
2024,7,July,0,0,2,0
2024,5,May,0,0,1,0
2024,4,April,0,4,2,0
2023,11,November,0,2,1,0
2023,9,September,0,9,6,0
2023,8,August,0,0,1,0
2023,7,July,1,0,2,18
2023,3,March,0,0,10,0
2022,12,December,0,0,0,1
2022,11,November,0,1,17,0
2022,10,October,0,0,2,0
2022,8,August,0,2,0,0
2022,7,July,0,3,15,0
2022,5,May,0,5,1,0
2022,3,March,0,0,4,0
2021,10,October,0,3,0,0
2021,6,June,0,0,1,0
2021,4,April,0,0,2,5
2021,3,March,0,3,2,0
2021,2,February,0,6,0,0
2021,1,January,0,2,1,0
2020,12,December,0,1,3,0
2020,11,November,0,6,1,12
2020,10,October,0,1,4,0
2020,8,August,0,0,1,0
2020,7,July,0,0,1,0
2020,6,June,0,2,1,0
2020,3,March,0,0,18,9
2020,2,February,0,0,12,15
2019,12,December,0,0,0,2
2019,11,November,0,1,7,1
2019,9,September,0,0,6,8
2019,8,August,0,0,1,3
2019,7,July,0,3,1,2
2019,6,June,0,0,0,1
2019,5,May,0,0,17,3
2019,4,April,0,2,0,0
2019,3,March,0,2,14,3
2019,2,February,0,5,0,10
2019,1,January,0,0,31,17
