Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,22,46,36,73
2025,7,July,38,16,35,118
2025,6,June,42,6,66,171
2025,5,May,13,4,19,43
2025,4,April,6,16,15,4
2025,3,March,10,0,2,31
2025,2,February,10,32,3,35
2025,1,January,26,9,4,4
2024,12,December,6,2,0,12
2024,11,November,8,7,21,22
2024,10,October,14,15,13,44
2024,9,September,19,12,43,57
2024,8,August,6,7,51,87
2024,7,July,28,4,66,67
2024,6,June,30,47,90,96
2024,5,May,20,4,12,36
2024,4,April,35,8,21,4
2024,3,March,13,5,15,13
2024,2,February,19,2,10,11
2024,1,January,13,0,2,18
2023,12,December,21,25,3,8
2023,11,November,24,13,10,10
2023,10,October,7,0,26,40
2023,9,September,13,4,38,58
2023,8,August,15,12,46,86
2023,7,July,35,42,78,121
2023,6,June,21,24,47,132
2023,5,May,37,32,18,35
2023,4,April,38,6,10,6
2023,3,March,16,19,0,11
2023,2,February,28,15,1,11
2023,1,January,23,16,4,34
2022,12,December,4,3,23,29
2022,11,November,17,8,4,14
2022,10,October,25,13,15,42
2022,9,September,42,24,87,75
2022,8,August,29,10,56,122
2022,7,July,23,37,66,120
2022,6,June,11,14,42,66
2022,5,May,27,39,51,60
2022,4,April,14,0,5,23
2022,3,March,27,22,21,8
2022,2,February,6,6,5,3
2022,1,January,67,15,3,11
2021,12,December,7,11,16,4
2021,11,November,26,22,2,21
2021,10,October,33,30,20,33
2021,9,September,5,9,22,30
2021,8,August,12,2,26,71
2021,7,July,8,7,4,47
2021,6,June,5,176,27,16
2021,5,May,4,3,5,9
2021,4,April,2,1,0,3
2021,3,March,4,1,5,4
2021,2,February,3,8,16,10
2021,1,January,6,3,0,6
2020,12,December,1,1,0,16
2020,11,November,2,2,0,6
2020,10,October,4,2,1,18
2020,9,September,3,2,3,3
2020,8,August,6,2,11,8
2020,7,July,8,7,5,3
2020,6,June,2,0,1,4
2020,5,May,1,1,0,0
2020,4,April,2,2,0,0
2020,3,March,11,8,3,4
2020,2,February,2,1,8,17
2020,1,January,1,6,10,3
2019,12,December,6,0,8,32
2019,11,November,11,11,0,7
2019,10,October,19,3,34,62
2019,9,September,17,12,111,137
2019,8,August,19,9,104,165
2019,7,July,40,27,127,100
2019,6,June,21,9,104,182
2019,5,May,22,12,79,65
2019,4,April,13,14,10,35
2019,3,March,23,3,14,11
2019,2,February,5,0,2,18
2019,1,January,6,1,29,26
