Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,8,0
2025,5,May,0,0,1,0
2025,3,March,0,0,5,0
2024,12,December,0,0,17,0
2024,6,June,0,0,1,0
2024,5,May,0,2,4,0
2024,4,April,0,0,4,0
2024,3,March,0,0,5,0
2023,12,December,0,0,12,0
2023,6,June,0,0,3,0
2022,12,December,0,0,18,0
2022,10,October,0,0,2,0
2022,9,September,0,0,5,0
2022,5,May,0,0,2,0
2021,12,December,0,0,7,0
2021,8,August,0,3,2,0
2020,12,December,0,0,5,0
2020,3,March,0,0,8,0
2020,2,February,0,0,5,0
2020,1,January,0,0,3,0
2019,12,December,0,1,7,0
2019,11,November,0,0,7,0
2019,8,August,0,0,2,0
2019,7,July,0,0,1,0
2019,3,March,0,0,1,0
2019,2,February,0,0,7,0
2019,1,January,0,0,3,0
