Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,115,384,300,141
2025,7,July,149,269,522,166
2025,6,June,160,605,593,289
2025,5,May,122,59,447,216
2025,4,April,177,50,112,218
2025,3,March,221,67,501,365
2025,2,February,329,78,99,227
2025,1,January,257,74,145,499
2024,12,December,360,145,235,442
2024,11,November,165,108,254,340
2024,10,October,86,55,102,238
2024,9,September,164,77,32,158
2024,8,August,127,89,71,375
2024,7,July,144,56,95,389
2024,6,June,196,65,103,232
2024,5,May,173,66,102,209
2024,4,April,87,58,377,176
2024,3,March,300,99,1764,236
2024,2,February,303,83,1903,317
2024,1,January,143,65,227,410
2023,12,December,281,325,218,303
2023,11,November,145,77,563,271
2023,10,October,154,71,176,230
2023,9,September,173,66,58,100
2023,8,August,117,78,69,156
2023,7,July,204,74,63,241
2023,6,June,118,45,76,194
2023,5,May,109,278,124,224
2023,4,April,187,481,788,372
2023,3,March,154,62,145,281
2023,2,February,278,71,100,238
2023,1,January,273,150,98,507
2022,12,December,353,90,150,237
2022,11,November,79,58,76,264
2022,10,October,142,69,107,216
2022,9,September,126,78,68,92
2022,8,August,135,71,75,138
2022,7,July,147,47,59,221
2022,6,June,151,83,92,203
2022,5,May,123,75,62,212
2022,4,April,172,80,171,387
2022,3,March,292,91,121,271
2022,2,February,217,83,310,317
2022,1,January,214,742,138,414
2021,12,December,349,144,117,225
2021,11,November,159,101,71,167
2021,10,October,172,107,85,190
2021,9,September,192,361,59,147
2021,8,August,140,112,27,87
2021,7,July,168,81,69,161
2021,6,June,300,151,87,195
2021,5,May,362,271,335,186
2021,4,April,387,218,85,219
2021,3,March,564,194,85,322
2021,2,February,356,105,33,156
2021,1,January,244,86,41,197
2020,12,December,204,67,196,141
2020,11,November,108,41,48,160
2020,10,October,108,60,99,188
2020,9,September,162,62,23,73
2020,8,August,123,38,27,67
2020,7,July,47,16,55,81
2020,6,June,36,6,31,97
2020,5,May,5,11,25,48
2020,4,April,8,4,2,48
2020,3,March,142,32,316,284
2020,2,February,189,60,48,202
2020,1,January,281,69,148,310
2019,12,December,340,80,79,198
2019,11,November,136,66,188,148
2019,10,October,146,101,80,130
2019,9,September,143,72,41,42
2019,8,August,124,34,28,79
2019,7,July,156,49,28,86
2019,6,June,192,59,33,182
2019,5,May,164,71,68,105
2019,4,April,203,117,51,205
2019,3,March,270,81,112,275
2019,2,February,314,69,75,158
2019,1,January,373,130,300,328
