Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,4,0,0
2025,6,June,0,8,0,0
2024,6,June,0,5,0,0
2023,9,September,0,9,0,0
2023,8,August,0,9,1,0
2023,7,July,0,0,1,0
2023,6,June,0,1,1,0
2023,5,May,0,0,2,0
2023,1,January,0,0,1,0
2022,12,December,0,6,0,0
2022,8,August,0,0,2,0
2022,6,June,0,0,1,0
2022,5,May,0,0,2,0
2022,3,March,0,0,1,0
2021,12,December,0,9,0,0
2021,9,September,0,0,2,0
2021,8,August,0,0,2,0
2021,5,May,0,15,0,0
2021,3,March,0,2,0,0
2021,2,February,0,8,0,0
2020,2,February,0,5,0,0
2019,8,August,0,0,4,0
2019,7,July,0,0,2,0
2019,6,June,0,0,2,0
2019,5,May,0,0,3,0
