Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,43,7,12,133
2025,7,July,66,18,22,64
2025,6,June,47,12,7,88
2025,5,May,39,11,11,34
2025,4,April,60,17,10,57
2025,3,March,58,0,24,23
2025,2,February,43,0,3,34
2025,1,January,21,4,8,22
2024,12,December,13,2,0,15
2024,11,November,43,9,24,40
2024,10,October,73,2,9,57
2024,9,September,63,2,3,64
2024,8,August,57,5,9,150
2024,7,July,79,27,31,139
2024,6,June,61,12,14,139
2024,5,May,53,17,10,74
2024,4,April,62,7,13,83
2024,3,March,70,6,8,20
2024,2,February,24,2,4,46
2024,1,January,38,2,11,18
2023,12,December,30,1,5,44
2023,11,November,53,3,10,66
2023,10,October,65,3,4,48
2023,9,September,55,2,10,66
2023,8,August,45,10,3,169
2023,7,July,41,8,5,154
2023,6,June,14,6,12,99
2023,5,May,32,14,5,45
2023,4,April,51,9,13,82
2023,3,March,36,9,4,29
2023,2,February,44,7,0,25
2023,1,January,31,1,15,21
2022,12,December,48,0,4,43
2022,11,November,39,4,14,58
2022,10,October,69,4,8,58
2022,9,September,33,16,6,87
2022,8,August,26,4,16,125
2022,7,July,31,4,1,150
2022,6,June,34,3,11,103
2022,5,May,40,22,18,67
2022,4,April,93,22,4,22
2022,3,March,24,8,0,29
2022,2,February,36,3,4,5
2022,1,January,26,0,0,4
2021,12,December,15,3,0,19
2021,11,November,55,7,0,11
2021,10,October,51,3,4,66
2021,9,September,20,1,1,51
2021,8,August,30,4,0,39
2021,7,July,49,2,3,5
2021,6,June,4,0,0,3
2021,5,May,12,12,0,6
2021,4,April,5,0,12,2
2021,3,March,7,0,8,0
2021,2,February,6,1,0,0
2021,1,January,10,0,4,0
2020,12,December,4,0,0,5
2020,11,November,10,0,0,14
2020,10,October,20,0,0,2
2020,9,September,8,0,0,1
2020,8,August,7,0,0,1
2020,7,July,0,3,0,6
2020,6,June,5,0,0,0
2020,5,May,1,0,0,0
2020,4,April,1,0,1,0
2020,3,March,16,8,1,28
2020,2,February,23,5,4,28
2020,1,January,18,2,0,54
2019,12,December,24,4,11,41
2019,11,November,50,2,10,30
2019,10,October,82,11,8,112
2019,9,September,67,6,20,123
2019,8,August,58,7,12,136
2019,7,July,46,4,9,95
2019,6,June,39,8,4,140
2019,5,May,56,36,19,84
2019,4,April,55,7,19,65
2019,3,March,47,12,33,69
2019,2,February,29,5,15,51
2019,1,January,47,4,2,28
