Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,3,March,0,0,7,0
2024,11,November,0,0,14,0
2024,7,July,0,0,10,0
2024,6,June,0,12,0,0
2024,5,May,0,0,4,0
2024,3,March,0,0,5,0
2023,9,September,0,0,2,0
2022,10,October,0,0,16,0
2022,9,September,0,2,7,0
2022,8,August,0,0,3,0
2022,7,July,0,4,1,0
2022,5,May,0,0,7,0
2022,4,April,0,0,8,0
2021,10,October,0,2,0,0
2020,7,July,0,3,1,0
2019,11,November,0,0,12,0
2019,9,September,0,1,1,0
2019,7,July,0,0,2,0
2019,3,March,0,0,1,0
