Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,21,0
2025,7,July,1,2,44,32
2025,6,June,2,32,20,25
2025,5,May,0,7,21,19
2025,4,April,1,5,27,15
2025,3,March,0,15,16,12
2025,2,February,0,0,14,2
2025,1,January,0,8,17,0
2024,12,December,0,0,47,0
2024,11,November,0,1,29,9
2024,10,October,0,17,19,0
2024,9,September,0,9,18,13
2024,8,August,0,0,6,39
2024,7,July,4,10,66,96
2024,6,June,1,29,9,48
2024,5,May,3,27,29,46
2024,4,April,0,6,11,9
2024,3,March,2,0,21,15
2024,2,February,0,8,16,4
2024,1,January,0,0,16,0
2023,12,December,1,5,4,18
2023,11,November,1,12,37,6
2023,10,October,0,14,32,3
2023,9,September,0,14,11,1
2023,8,August,0,6,9,3
2023,7,July,3,32,60,50
2023,6,June,0,14,46,6
2023,5,May,1,42,17,4
2023,4,April,0,15,12,2
2023,3,March,0,3,24,9
2023,2,February,0,8,16,3
2023,1,January,1,0,16,7
2022,12,December,1,18,19,7
2022,11,November,2,15,55,2
2022,10,October,0,12,7,3
2022,9,September,0,13,18,2
2022,8,August,0,2,4,2
2022,7,July,1,16,36,31
2022,6,June,0,6,25,2
2022,5,May,0,19,13,0
2022,4,April,0,9,15,1
2022,3,March,0,18,11,4
2022,2,February,0,5,34,0
2021,12,December,0,3,10,0
2021,11,November,0,7,25,0
2021,10,October,0,28,38,0
2021,9,September,0,0,8,0
2021,8,August,0,0,4,0
2021,7,July,0,2,9,0
2021,6,June,0,0,9,1
2021,5,May,0,2,2,0
2021,4,April,0,0,2,0
2021,1,January,0,0,1,0
2020,11,November,0,0,0,4
2020,8,August,0,0,6,2
2020,7,July,0,0,1,0
2020,6,June,0,0,1,6
2020,5,May,0,0,0,2
2020,4,April,0,0,1,0
2020,3,March,2,0,0,50
2020,2,February,1,5,15,67
2020,1,January,3,1,37,37
2019,12,December,0,1,18,42
2019,11,November,1,1,18,20
2019,10,October,1,1,37,34
2019,9,September,0,0,11,14
2019,8,August,0,2,28,23
2019,7,July,1,0,18,93
2019,6,June,7,2,37,249
2019,5,May,1,2,15,46
2019,4,April,4,0,38,70
2019,3,March,0,1,8,41
2019,2,February,0,0,8,23
2019,1,January,7,0,24,106
