Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,40,27,146,180
2025,7,July,18,15,129,248
2025,6,June,7,22,194,217
2025,5,May,24,24,235,176
2025,4,April,33,8,183,331
2025,3,March,51,96,199,228
2025,2,February,5,29,268,225
2025,1,January,109,101,221,318
2024,12,December,88,94,362,324
2024,11,November,49,62,228,197
2024,10,October,48,48,77,114
2024,9,September,14,11,73,110
2024,8,August,7,8,152,133
2024,7,July,26,18,142,183
2024,6,June,13,12,168,209
2024,5,May,19,15,96,127
2024,4,April,74,55,239,347
2024,3,March,19,93,247,179
2024,2,February,39,17,185,259
2024,1,January,50,13,124,359
2023,12,December,98,38,347,210
2023,11,November,19,31,115,146
2023,10,October,63,19,126,241
2023,9,September,45,18,155,151
2023,8,August,15,13,108,158
2023,7,July,7,5,256,319
2023,6,June,18,31,207,205
2023,5,May,16,14,119,84
2023,4,April,68,62,222,404
2023,3,March,52,10,87,147
2023,2,February,60,62,245,298
2023,1,January,120,14,149,520
2022,12,December,15,35,327,128
2022,11,November,29,15,164,194
2022,10,October,17,5,138,157
2022,9,September,14,33,144,162
2022,8,August,12,18,155,187
2022,7,July,39,18,193,199
2022,6,June,14,39,198,201
2022,5,May,30,23,181,186
2022,4,April,21,10,268,360
2022,3,March,24,35,156,272
2022,2,February,54,65,278,422
2022,1,January,30,19,167,354
2021,12,December,14,32,360,168
2021,11,November,21,11,171,242
2021,10,October,8,10,107,161
2021,9,September,7,20,90,39
2021,8,August,16,16,136,159
2021,7,July,21,5,148,144
2021,6,June,6,11,108,164
2021,5,May,15,4,67,158
2021,4,April,8,14,133,188
2021,3,March,9,8,133,96
2021,2,February,9,6,103,192
2021,1,January,9,3,103,254
2020,12,December,7,8,177,93
2020,11,November,9,14,101,119
2020,10,October,2,6,22,11
2020,9,September,1,23,22,8
2020,8,August,6,13,40,46
2020,7,July,7,8,45,40
2020,6,June,11,9,22,45
2020,5,May,6,19,6,19
2020,4,April,0,1,2,5
2020,3,March,11,16,109,202
2020,2,February,23,17,197,183
2020,1,January,24,13,76,336
2019,12,December,28,29,247,169
2019,11,November,46,52,125,109
2019,10,October,11,12,72,61
2019,9,September,73,24,140,198
2019,8,August,19,23,97,126
2019,7,July,14,18,143,167
2019,6,June,13,59,134,136
2019,5,May,19,29,104,100
2019,4,April,24,73,178,198
2019,3,March,106,141,165,186
2019,2,February,95,4,198,216
2019,1,January,37,9,139,412
