Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,4,April,0,0,3,0
2025,3,March,0,0,8,0
2025,1,January,0,0,4,0
2024,12,December,0,0,5,0
2024,10,October,0,0,3,0
2024,9,September,0,4,0,0
2024,8,August,0,0,2,0
2024,3,March,0,3,4,0
2023,12,December,0,4,35,0
2023,7,July,0,0,3,0
2023,4,April,0,0,5,0
2023,1,January,0,0,0,2
2022,11,November,0,0,1,0
2022,10,October,6,0,0,2
2022,4,April,0,0,1,0
2021,7,July,0,0,3,0
2021,6,June,0,1,0,0
2021,4,April,0,1,0,0
2020,3,March,0,3,0,0
2020,2,February,0,0,0,2
2020,1,January,0,0,1,0
2019,12,December,0,0,7,0
2019,10,October,0,0,6,0
2019,9,September,0,1,1,0
2019,8,August,0,0,3,0
2019,7,July,0,0,12,0
2019,6,June,0,0,12,0
2019,4,April,0,0,1,0
2019,3,March,7,8,13,0
2019,2,February,0,0,5,5
2019,1,January,0,4,6,0
