Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,8,14,27,1
2025,7,July,13,10,0,1
2025,6,June,0,4,8,3
2025,5,May,0,1,8,6
2025,4,April,6,26,18,2
2025,3,March,4,14,13,15
2025,2,February,3,1,8,9
2025,1,January,0,0,7,22
2024,12,December,0,0,23,5
2024,11,November,6,2,20,20
2024,10,October,18,19,14,14
2024,9,September,9,9,7,16
2024,8,August,0,11,13,1
2024,7,July,0,0,13,0
2024,6,June,7,41,30,8
2024,5,May,0,6,2,0
2024,4,April,0,0,1,0
2024,3,March,0,0,2,0
2023,10,October,0,3,2,0
2021,10,October,0,2,0,0
