Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,4,April,0,0,1,0
2025,2,February,0,0,10,10
2024,9,September,0,0,3,0
2024,5,May,0,5,0,0
2024,4,April,0,0,4,0
2024,2,February,0,0,2,0
2022,11,November,0,2,0,0
2022,8,August,0,0,2,0
2022,7,July,0,0,7,0
2022,6,June,0,4,0,0
2022,5,May,0,0,8,0
2022,2,February,0,1,0,0
2021,12,December,0,0,9,0
2021,8,August,0,2,0,0
2021,3,March,0,0,6,0
2021,2,February,0,0,9,0
2021,1,January,0,0,8,0
2020,9,September,0,0,4,0
2020,3,March,0,2,0,0
2020,1,January,0,4,0,0
2019,7,July,0,0,6,0
2019,6,June,0,0,2,0
2019,2,February,0,2,0,0
