Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,3465,4151,774,1170
2025,7,July,3801,3081,1024,1014
2025,6,June,3012,3461,1006,778
2025,5,May,5255,6493,1127,972
2025,4,April,16623,18896,2094,2128
2025,3,March,26726,30491,3498,3500
2025,2,February,25595,21970,2868,3134
2025,1,January,20088,22394,2724,3615
2024,12,December,23596,19381,3851,3556
2024,11,November,17944,15150,2873,3505
2024,10,October,8050,5555,1424,2113
2024,9,September,2843,3198,916,1169
2024,8,August,5380,4784,1162,1886
2024,7,July,4757,4126,1352,1614
2024,6,June,4258,4692,1917,1721
2024,5,May,4817,5705,1333,1166
2024,4,April,15236,19953,3496,2948
2024,3,March,24952,26119,3862,4266
2024,2,February,20868,18824,2837,2990
2024,1,January,18827,20733,3228,3933
2023,12,December,20189,16738,3718,3762
2023,11,November,16380,14464,3213,3648
2023,10,October,7402,5953,1384,2011
2023,9,September,3859,3803,1203,1497
2023,8,August,5406,5288,1363,2244
2023,7,July,5573,5170,2002,2126
2023,6,June,4703,4484,2219,2439
2023,5,May,4870,5548,1219,1294
2023,4,April,14519,17948,3006,2486
2023,3,March,17433,18250,2512,2643
2023,2,February,14888,13754,2392,2450
2023,1,January,15046,17290,3044,3514
2022,12,December,15423,11218,2989,3370
2022,11,November,12464,10682,2501,2849
2022,10,October,6838,4360,1054,1672
2022,9,September,2275,2359,767,877
2022,8,August,4298,4812,1070,1435
2022,7,July,5207,4289,1451,1668
2022,6,June,3725,3974,1679,1153
2022,5,May,5687,6745,1351,1067
2022,4,April,15376,18765,3104,2044
2022,3,March,17172,17875,2579,2306
2022,2,February,10038,7732,1461,1507
2022,1,January,6878,7932,1615,1495
2021,12,December,11388,8926,2369,2320
2021,11,November,9147,6771,1503,1747
2021,10,October,5479,2380,669,1358
2021,9,September,977,809,303,337
2021,8,August,1052,1024,272,261
2021,7,July,96,21,52,49
2021,6,June,204,60,98,101
2021,5,May,551,151,67,115
2021,4,April,490,146,72,205
2021,3,March,376,87,108,105
2021,2,February,400,367,160,161
2021,1,January,2317,1689,361,664
2020,12,December,3263,1010,374,849
2020,11,November,2499,740,268,580
2020,10,October,494,152,142,189
2020,9,September,8,0,10,1
2020,8,August,3,3,13,8
2020,7,July,0,4,8,9
2020,6,June,24,15,4,10
2020,5,May,8,8,0,0
2020,4,April,2,39,4,0
2020,3,March,13177,22411,3801,2162
2020,2,February,23327,19560,3886,3400
2020,1,January,19129,19844,4690,3702
2019,12,December,20756,16894,4563,4161
2019,11,November,17422,14837,3620,3382
2019,10,October,9375,5999,1312,1901
2019,9,September,3314,3044,801,1202
2019,8,August,5325,5883,1359,2014
2019,7,July,6112,4796,1482,2252
2019,6,June,3633,3698,1246,1352
2019,5,May,6115,7479,1429,1556
2019,4,April,18283,22562,4154,3262
2019,3,March,29720,31931,5203,4244
2019,2,February,24834,21166,3529,3528
2019,1,January,19298,19322,3695,3602
