Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,10,5,81,510
2025,7,July,33,9,244,1002
2025,6,June,23,8,232,772
2025,5,May,14,9,315,1079
2025,4,April,29,40,328,882
2025,3,March,24,37,347,1334
2025,2,February,59,60,275,729
2025,1,January,32,13,165,875
2024,12,December,37,21,311,451
2024,11,November,41,24,226,589
2024,10,October,8,2,73,286
2024,9,September,11,9,71,325
2024,8,August,21,3,163,536
2024,7,July,24,26,236,1049
2024,6,June,25,9,260,1012
2024,5,May,26,22,266,868
2024,4,April,45,26,237,1169
2024,3,March,45,53,481,1596
2024,2,February,32,15,284,936
2024,1,January,49,24,178,1278
2023,12,December,42,15,319,607
2023,11,November,33,24,256,808
2023,10,October,21,23,112,526
2023,9,September,17,4,116,410
2023,8,August,23,5,163,777
2023,7,July,31,26,294,1378
2023,6,June,26,12,395,1534
2023,5,May,55,23,324,1391
2023,4,April,34,49,395,1751
2023,3,March,60,54,497,1648
2023,2,February,48,21,317,1019
2023,1,January,42,47,239,1514
2022,12,December,51,31,361,709
2022,11,November,40,25,214,734
2022,10,October,23,8,165,491
2022,9,September,17,0,99,459
2022,8,August,25,6,171,808
2022,7,July,29,11,369,1248
2022,6,June,23,20,354,1246
2022,5,May,35,46,292,1264
2022,4,April,50,57,341,1311
2022,3,March,43,61,327,1400
2022,2,February,37,29,261,857
2022,1,January,34,35,160,1130
2021,12,December,29,29,336,476
2021,11,November,28,19,190,623
2021,10,October,33,6,132,368
2021,9,September,2,1,73,238
2021,8,August,16,4,105,505
2021,7,July,44,6,306,1095
2021,6,June,19,5,330,964
2021,5,May,21,16,232,735
2021,4,April,13,6,229,843
2021,3,March,33,6,281,843
2021,2,February,10,23,91,372
2021,1,January,40,7,140,653
2020,12,December,35,12,185,357
2020,11,November,25,5,104,293
2020,10,October,20,2,18,189
2020,9,September,5,2,40,124
2020,8,August,13,2,36,151
2020,7,July,13,5,176,517
2020,6,June,3,8,55,84
2020,5,May,0,8,7,22
2020,4,April,1,6,1,27
2020,3,March,24,47,214,767
2020,2,February,60,23,202,690
2020,1,January,48,38,244,925
2019,12,December,48,24,412,518
2019,11,November,58,28,193,611
2019,10,October,51,28,241,576
2019,9,September,109,17,217,568
2019,8,August,23,7,157,723
2019,7,July,47,8,347,1206
2019,6,June,16,11,322,1097
2019,5,May,42,27,321,967
2019,4,April,59,47,330,1200
2019,3,March,41,35,412,1410
2019,2,February,34,16,292,759
2019,1,January,71,50,328,1040
