Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,33,26,26,20
2025,7,July,4,5,43,43
2025,6,June,6,17,23,25
2025,5,May,7,19,4,5
2025,4,April,13,12,8,29
2025,3,March,26,8,31,50
2025,2,February,3,9,28,190
2025,1,January,5,9,20,22
2024,12,December,0,0,0,2
2024,11,November,9,22,5,6
2024,10,October,9,4,30,12
2024,9,September,5,7,12,4
2024,8,August,29,29,47,25
2024,7,July,6,8,21,26
2024,6,June,6,13,56,25
2024,5,May,13,20,22,13
2024,4,April,10,5,10,12
2024,3,March,15,19,21,10
2024,2,February,4,8,28,8
2024,1,January,5,8,15,11
2023,12,December,1,0,20,6
2023,11,November,18,10,38,12
2023,10,October,2,6,6,9
2023,9,September,8,19,23,21
2023,8,August,3,2,12,31
2023,7,July,19,27,16,12
2023,6,June,16,13,43,37
2023,5,May,2,6,6,7
2023,4,April,8,8,29,23
2023,3,March,17,17,17,21
2023,2,February,0,3,23,21
2023,1,January,10,4,27,32
2022,12,December,6,11,1,0
2022,11,November,8,6,40,3
2022,10,October,2,1,2,0
2022,9,September,3,11,13,17
2022,8,August,3,7,13,31
2022,7,July,14,13,36,3
2022,6,June,3,3,22,24
2022,5,May,2,13,18,26
2022,4,April,7,6,2,2
2022,3,March,0,0,35,20
2022,2,February,10,24,66,16
2022,1,January,0,0,4,23
2021,12,December,8,2,2,5
2021,11,November,7,3,5,10
2021,10,October,8,2,5,6
2021,9,September,2,3,17,17
2021,8,August,5,4,19,4
2021,6,June,0,2,0,0
2021,5,May,0,4,0,3
2021,3,March,0,4,0,0
2021,2,February,0,6,9,8
2021,1,January,0,0,25,0
2020,12,December,3,0,1,2
2020,11,November,0,2,0,0
2020,10,October,2,1,0,0
2020,9,September,1,5,0,11
2020,8,August,2,2,2,2
2020,7,July,3,3,1,1
2020,6,June,0,0,4,1
2020,5,May,8,0,0,0
2020,3,March,0,2,0,9
2020,2,February,9,9,36,13
2020,1,January,8,13,12,19
2019,12,December,15,15,30,27
2019,11,November,5,9,32,5
2019,10,October,7,10,12,11
2019,9,September,2,9,13,23
2019,8,August,24,14,3,9
2019,7,July,15,15,38,16
2019,6,June,13,47,16,7
2019,5,May,7,7,32,35
2019,4,April,8,13,11,14
2019,3,March,5,2,30,30
2019,2,February,0,4,43,33
2019,1,January,29,20,16,38
