Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,20,4,2
2025,5,May,3,4,0,0
2025,2,February,0,0,0,1
2024,9,September,1,0,0,0
2024,6,June,1,1,0,0
2023,10,October,0,4,0,0
2023,9,September,1,0,0,3
2023,7,July,7,0,0,0
2023,3,March,8,7,0,0
2022,12,December,3,3,0,0
2022,4,April,1,1,0,0
2022,3,March,5,5,0,0
2021,10,October,8,0,0,0
2021,9,September,2,0,0,0
2021,8,August,1,0,0,0
2021,7,July,4,0,0,0
2021,5,May,3,0,0,0
2021,3,March,2,0,0,0
2020,2,February,13,9,0,0
2020,1,January,2,2,0,0
2019,11,November,4,9,0,0
2019,8,August,2,3,1,3
2019,6,June,0,3,0,0
2019,4,April,5,5,0,0
