Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,45,60,268,295
2025,7,July,48,53,272,303
2025,6,June,29,35,118,114
2025,5,May,22,15,85,89
2025,4,April,7,5,36,57
2025,3,March,8,4,34,30
2025,2,February,5,9,23,11
2025,1,January,10,17,27,23
2024,12,December,15,19,47,52
2024,11,November,12,15,37,26
2024,10,October,12,21,48,53
2024,9,September,39,40,110,123
2024,8,August,82,57,197,316
2024,7,July,58,50,191,314
2024,6,June,45,52,101,156
2024,5,May,35,24,87,107
2024,4,April,14,8,27,41
2024,3,March,21,15,15,20
2024,2,February,3,0,0,4
2024,1,January,14,17,35,49
2023,12,December,21,23,56,37
2023,11,November,17,26,29,32
2023,10,October,27,32,52,55
2023,9,September,40,49,102,117
2023,8,August,66,65,153,233
2023,7,July,63,59,146,162
2023,6,June,22,21,85,88
2023,5,May,10,11,22,30
2023,4,April,2,5,6,7
2023,3,March,2,1,0,4
2023,2,February,1,1,3,10
2023,1,January,3,4,1,3
2022,12,December,1,1,6,1
2022,11,November,5,6,2,2
2022,10,October,2,2,4,12
2022,9,September,8,6,4,27
2022,8,August,10,13,23,139
2022,7,July,11,4,25,101
2022,6,June,0,1,24,22
2022,5,May,8,10,5,19
2022,4,April,1,1,2,1
2022,3,March,2,1,0,1
2022,2,February,0,0,1,9
2022,1,January,0,0,0,4
2021,12,December,0,0,6,13
2021,11,November,0,0,3,2
2021,10,October,0,0,3,3
2021,9,September,0,0,0,14
2021,8,August,0,1,4,26
2021,7,July,3,5,3,2
2021,5,May,1,0,2,0
2020,11,November,1,1,0,0
2020,9,September,0,0,2,0
2020,7,July,0,0,1,0
2020,3,March,1,0,0,5
2020,2,February,0,2,6,4
2020,1,January,0,0,1,5
2019,12,December,2,0,0,7
2019,11,November,7,2,2,11
2019,10,October,1,4,0,3
2019,9,September,4,2,7,14
2019,8,August,20,22,18,77
2019,7,July,12,7,23,58
2019,6,June,5,10,31,25
2019,5,May,8,9,9,45
2019,4,April,10,9,0,4
2019,3,March,4,3,4,1
2019,2,February,0,0,1,0
2019,1,January,8,0,1,9
