Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,5,May,0,0,5,0
2025,4,April,0,0,2,0
2025,2,February,0,0,2,0
2024,6,June,0,0,6,0
2024,4,April,0,4,7,0
2024,3,March,0,2,18,0
2024,2,February,0,0,3,0
2024,1,January,0,0,5,0
2023,6,June,0,0,2,0
2023,5,May,0,0,18,0
2023,4,April,0,6,0,0
2023,3,March,0,0,12,9
2022,12,December,0,0,11,0
2022,11,November,0,0,4,0
2022,6,June,0,0,2,0
2022,3,March,0,0,1,0
2019,10,October,0,0,1,0
2019,1,January,0,0,2,0
