Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,11,0
2025,6,June,0,0,14,0
2025,5,May,0,5,0,0
2025,4,April,0,0,2,0
2025,3,March,0,0,4,0
2025,2,February,0,0,2,0
2024,11,November,0,0,12,0
2024,3,March,0,0,16,0
2024,2,February,0,1,7,0
2023,12,December,0,0,9,0
2023,11,November,0,0,4,0
2023,5,May,0,0,6,0
2023,4,April,0,0,2,0
2023,2,February,0,0,7,0
2023,1,January,0,0,3,0
2022,12,December,0,0,10,0
2022,6,June,0,0,4,0
2022,5,May,0,0,7,0
2021,11,November,0,12,0,0
2021,8,August,0,1,0,0
2021,6,June,0,0,1,0
2021,4,April,0,1,0,0
2020,11,November,0,0,2,0
2020,10,October,0,7,0,0
2020,9,September,0,7,0,0
2020,7,July,0,0,4,0
2020,2,February,0,0,2,0
2019,11,November,0,2,0,0
2019,5,May,0,0,5,0
2019,4,April,0,0,1,0
2019,3,March,0,0,14,0
