Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,16,21,62,51
2025,7,July,13,12,76,73
2025,6,June,8,11,72,54
2025,5,May,27,36,60,49
2025,4,April,4,14,70,48
2025,3,March,16,3,43,43
2025,2,February,7,8,31,31
2025,1,January,1,19,29,25
2024,12,December,2,2,8,3
2024,11,November,4,0,3,0
2024,10,October,2,0,0,4
2024,9,September,6,4,0,0
2024,8,August,4,8,0,0
2024,7,July,2,0,0,0
2024,6,June,0,0,2,0
2024,5,May,0,4,30,0
2024,4,April,0,3,3,0
2024,3,March,14,10,20,0
2024,2,February,2,10,3,2
2024,1,January,0,7,0,0
2023,12,December,0,0,15,1
2023,11,November,2,1,15,8
2023,10,October,4,0,0,0
2023,9,September,2,2,0,0
2023,8,August,0,4,17,0
2023,7,July,11,2,2,1
2023,6,June,0,0,33,0
2023,5,May,0,0,6,0
2023,4,April,0,2,8,0
2023,3,March,0,2,10,0
2023,2,February,0,0,8,0
2023,1,January,0,7,0,0
2022,12,December,8,10,31,0
2022,11,November,0,6,10,0
2022,10,October,0,1,0,0
2022,9,September,0,3,0,0
2022,8,August,2,0,0,0
2022,7,July,2,2,8,0
2022,6,June,0,0,10,0
2022,5,May,4,4,16,0
2022,4,April,4,0,9,0
2022,3,March,0,0,5,0
2022,1,January,1,15,1,0
2021,12,December,0,1,6,0
2021,11,November,2,1,4,0
2021,10,October,2,0,1,0
2021,9,September,0,0,2,0
2021,8,August,6,6,6,0
2021,7,July,0,4,37,16
2021,6,June,4,3,5,6
2021,5,May,4,2,0,1
2021,4,April,0,0,0,2
2021,3,March,3,0,13,0
2021,2,February,2,7,2,0
2021,1,January,0,2,5,0
2020,12,December,0,0,5,0
2020,11,November,0,0,10,5
2020,9,September,6,10,0,0
2020,8,August,0,0,0,4
2020,6,June,0,0,0,2
2020,3,March,0,0,2,0
2020,2,February,2,2,6,2
2020,1,January,0,0,12,0
2019,12,December,4,5,12,6
2019,11,November,0,0,4,0
2019,10,October,11,11,2,0
2019,9,September,1,1,8,0
2019,8,August,2,7,3,2
2019,6,June,11,0,16,11
2019,5,May,4,4,3,4
2019,4,April,10,12,7,0
2019,2,February,7,5,0,1
2019,1,January,5,8,0,0
