Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,0,1
2025,2,February,0,0,0,1
2024,11,November,0,0,1,0
2024,5,May,0,0,3,0
2024,4,April,0,0,0,13
2024,3,March,0,0,0,12
2023,8,August,0,0,1,0
2023,7,July,0,0,1,0
2023,3,March,0,0,0,1
2023,2,February,0,0,0,3
2022,12,December,0,0,0,26
2022,4,April,0,0,1,0
2021,7,July,0,0,0,1
2020,12,December,0,0,3,2
2020,11,November,0,0,4,0
2020,8,August,0,0,0,1
2020,7,July,0,0,0,3
2020,5,May,0,0,1,0
2020,4,April,0,0,0,1
2020,2,February,0,0,13,0
2019,12,December,0,0,0,1
2019,11,November,0,0,6,7
2019,10,October,0,0,4,0
2019,9,September,0,0,2,0
2019,7,July,0,0,0,11
