Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,2,0,23,32
2025,7,July,2,1,18,20
2025,6,June,4,0,38,26
2025,5,May,0,5,22,0
2025,4,April,5,0,42,10
2025,3,March,3,0,14,28
2025,2,February,0,0,11,11
2025,1,January,3,2,21,8
2024,12,December,0,3,17,0
2024,11,November,0,4,29,8
2024,10,October,3,1,10,5
2024,9,September,2,4,3,0
2024,8,August,1,4,41,8
2024,7,July,0,0,27,18
2024,6,June,1,0,19,0
2024,5,May,6,5,3,0
2024,4,April,0,0,7,13
2024,3,March,1,0,5,0
2024,2,February,0,0,20,13
2024,1,January,0,1,25,12
2023,12,December,0,5,28,0
2023,11,November,0,8,1,0
2023,10,October,0,1,1,0
2023,9,September,0,3,19,12
2023,8,August,0,0,1,0
2023,7,July,0,3,3,0
2023,6,June,0,6,8,3
2023,5,May,0,1,20,0
2023,4,April,0,2,29,17
2023,3,March,0,0,11,24
2023,2,February,0,2,11,0
2023,1,January,0,3,24,15
2022,12,December,0,7,15,0
2022,11,November,0,3,30,0
2022,10,October,0,5,10,6
2022,9,September,0,2,7,0
2022,8,August,0,2,5,0
2022,7,July,0,0,8,14
2022,6,June,0,0,16,2
2022,5,May,0,5,7,10
2022,4,April,0,5,48,18
2022,3,March,0,0,10,8
2022,2,February,0,2,9,0
2022,1,January,2,4,2,0
2021,12,December,0,0,1,0
2021,11,November,0,5,29,11
2021,10,October,0,2,2,0
2021,9,September,0,0,4,0
2021,8,August,1,4,14,20
2021,7,July,0,0,22,0
2021,6,June,0,1,11,0
2020,11,November,0,0,0,4
2020,10,October,0,0,10,0
2019,12,December,4,0,0,0
2019,5,May,6,0,0,0
