Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,1,January,0,0,2,0
2024,10,October,0,1,3,0
2024,4,April,0,7,0,0
2023,7,July,0,8,0,0
2023,6,June,0,7,1,0
2023,5,May,0,5,0,0
2022,10,October,0,1,1,0
2022,8,August,0,3,0,0
2022,7,July,0,2,0,0
2022,6,June,0,3,0,0
2022,5,May,0,2,6,0
2022,4,April,0,2,0,0
2022,3,March,0,3,0,0
2021,5,May,0,8,1,0
2020,3,March,0,9,0,0
2020,2,February,0,21,1,0
2020,1,January,0,19,1,0
2019,12,December,0,4,1,0
2019,6,June,0,0,10,0
