Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,0,15
2025,6,June,0,0,6,6
2025,5,May,0,0,3,2
2025,4,April,0,2,12,13
2024,8,August,0,0,6,12
2024,7,July,0,0,0,8
2024,6,June,0,0,6,0
2024,5,May,0,0,0,25
2023,7,July,0,0,3,22
2023,6,June,0,1,2,5
2023,5,May,0,0,15,0
2023,4,April,0,0,14,17
2023,2,February,0,0,8,12
2023,1,January,0,0,0,10
2022,12,December,0,0,11,0
2022,8,August,0,0,0,18
2022,7,July,0,0,4,16
2022,6,June,0,0,0,15
2022,5,May,0,0,15,7
2022,4,April,0,0,5,14
2022,3,March,0,0,0,24
2022,2,February,0,0,7,0
2022,1,January,0,0,0,10
2021,12,December,0,0,5,0
2021,11,November,3,0,0,0
2021,10,October,0,0,7,18
2021,7,July,0,0,0,12
2021,6,June,0,0,8,17
2021,5,May,0,0,5,0
2019,6,June,0,0,16,0
