Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,4,2
2025,7,July,0,0,3,1
2025,5,May,0,0,0,2
2025,2,February,0,0,3,0
2024,10,October,0,0,1,2
2024,9,September,0,0,0,2
2024,8,August,0,0,2,3
2024,7,July,3,0,0,5
2024,6,June,0,0,8,1
2023,11,November,1,1,0,0
2023,9,September,0,0,0,1
2023,8,August,0,0,2,5
2023,7,July,0,0,0,1
2023,5,May,1,0,0,0
2022,11,November,0,0,0,1
2022,8,August,0,0,0,1
2022,7,July,0,0,0,2
2022,6,June,0,0,0,4
2022,3,March,1,0,0,0
2021,8,August,0,0,0,2
2019,8,August,1,0,3,6
2019,7,July,2,0,7,3
2019,6,June,8,0,0,0
2019,5,May,1,0,0,0
2019,3,March,5,5,0,0
2019,2,February,2,2,0,1
