Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,82,16,39,205
2025,7,July,45,26,36,135
2025,6,June,41,19,67,166
2025,5,May,13,15,27,65
2025,4,April,34,7,6,54
2025,3,March,51,20,25,100
2025,2,February,24,13,13,54
2025,1,January,31,8,8,52
2024,12,December,46,12,10,23
2024,11,November,53,20,6,37
2024,10,October,75,5,10,173
2024,9,September,60,26,24,147
2024,8,August,49,17,18,153
2024,7,July,72,36,51,160
2024,6,June,82,16,16,110
2024,5,May,40,24,29,38
2024,4,April,47,33,14,30
2024,3,March,68,23,9,53
2024,2,February,35,13,14,55
2024,1,January,51,10,21,64
2023,12,December,38,18,4,21
2023,11,November,110,15,9,30
2023,10,October,50,12,26,57
2023,9,September,48,23,21,147
2023,8,August,23,13,41,104
2023,7,July,31,24,44,116
2023,6,June,34,20,17,70
2023,5,May,69,29,3,82
2023,4,April,40,35,2,41
2023,3,March,31,23,6,47
2023,2,February,75,31,46,17
2023,1,January,51,13,3,42
2022,12,December,86,19,4,48
2022,11,November,31,10,1,35
2022,10,October,73,25,2,45
2022,9,September,55,21,1,81
2022,8,August,36,11,30,146
2022,7,July,90,17,17,108
2022,6,June,47,16,26,141
2022,5,May,34,11,5,30
2022,4,April,62,26,12,54
2022,3,March,52,12,13,32
2022,2,February,30,12,7,42
2022,1,January,29,14,4,27
2021,12,December,37,10,2,15
2021,11,November,93,24,4,33
2021,10,October,502,61,30,69
2021,9,September,62,21,19,79
2021,8,August,29,6,30,37
2021,7,July,38,7,2,21
2021,6,June,7,3,5,12
2021,5,May,8,13,1,8
2021,4,April,6,2,1,3
2021,3,March,7,2,1,10
2021,2,February,6,0,0,0
2021,1,January,25,8,0,8
2020,12,December,60,5,1,2
2020,11,November,18,1,1,1
2020,10,October,20,10,4,11
2020,9,September,14,14,13,16
2020,8,August,14,2,4,26
2020,7,July,4,4,2,6
2020,6,June,8,2,0,2
2020,5,May,4,3,0,2
2020,4,April,3,6,1,0
2020,3,March,27,25,9,19
2020,2,February,23,7,8,28
2020,1,January,37,27,11,20
2019,12,December,45,21,9,25
2019,11,November,28,25,7,24
2019,10,October,61,44,14,86
2019,9,September,33,15,30,103
2019,8,August,58,37,46,78
2019,7,July,54,30,42,111
2019,6,June,66,22,137,187
2019,5,May,76,40,16,39
2019,4,April,69,192,4,66
2019,3,March,51,37,15,35
2019,2,February,49,17,12,53
2019,1,January,54,12,7,35
