Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,16,12,32,77
2025,7,July,40,39,34,53
2025,6,June,12,4,15,53
2025,5,May,4,8,26,28
2025,4,April,10,2,5,44
2025,3,March,1,1,19,13
2025,2,February,23,18,22,20
2025,1,January,9,1,10,42
2024,12,December,8,7,24,34
2024,11,November,48,18,2,23
2024,10,October,40,82,16,44
2024,9,September,24,15,211,280
2024,8,August,16,4,17,79
2024,7,July,78,72,60,51
2024,6,June,18,0,17,76
2024,5,May,19,2,8,19
2024,4,April,20,2,9,25
2024,3,March,9,2,11,31
2024,2,February,37,9,22,27
2024,1,January,6,2,15,47
2023,12,December,42,17,29,22
2023,11,November,11,1,20,49
2023,10,October,45,27,22,53
2023,9,September,49,51,39,52
2023,8,August,10,5,36,75
2023,7,July,23,62,31,53
2023,6,June,27,8,44,97
2023,5,May,10,3,34,86
2023,4,April,5,10,12,42
2023,3,March,17,0,11,57
2023,2,February,3,13,33,66
2023,1,January,45,25,19,16
2022,12,December,17,18,47,37
2022,11,November,28,13,36,37
2022,10,October,36,22,213,226
2022,9,September,3,6,37,53
2022,8,August,2,1,32,83
2022,7,July,53,177,32,66
2022,6,June,42,20,34,89
2022,5,May,41,6,13,40
2022,4,April,3,0,12,22
2022,3,March,16,2,33,33
2022,2,February,13,8,4,9
2022,1,January,20,12,2,17
2021,12,December,11,4,12,14
2021,11,November,10,5,22,24
2021,10,October,15,7,12,18
2021,9,September,63,37,3,16
2021,8,August,12,6,2,13
2021,7,July,10,6,0,18
2021,6,June,9,0,0,2
2021,5,May,0,0,3,16
2021,4,April,1,0,12,7
2021,3,March,1,1,0,0
2021,2,February,2,0,0,7
2021,1,January,7,0,5,6
2020,12,December,9,2,3,3
2020,10,October,5,1,2,2
2020,9,September,0,0,12,16
2020,8,August,0,1,0,4
2020,7,July,0,0,0,1
2020,6,June,6,0,0,3
2020,5,May,0,2,0,8
2020,4,April,4,0,0,0
2020,3,March,13,8,5,18
2020,2,February,15,4,21,67
2020,1,January,20,31,12,56
2019,12,December,17,7,22,43
2019,11,November,26,15,20,55
2019,10,October,22,8,25,64
2019,9,September,39,33,24,69
2019,8,August,17,14,206,297
2019,7,July,62,76,41,68
2019,6,June,33,38,101,118
2019,5,May,6,4,36,76
2019,4,April,1,3,18,43
2019,3,March,17,28,29,37
2019,2,February,14,0,19,58
2019,1,January,11,16,71,72
