Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,0,12
2025,6,June,0,0,6,0
2025,4,April,0,4,3,0
2025,3,March,0,0,6,0
2025,2,February,0,0,0,1
2025,1,January,1,0,0,1
2024,12,December,7,0,0,0
2024,11,November,6,0,0,0
2024,9,September,0,0,3,2
2024,8,August,0,0,0,6
2024,7,July,3,3,4,0
2024,4,April,46,0,0,36
2024,3,March,0,0,12,0
2024,1,January,0,0,7,0
2023,12,December,6,2,8,0
2023,9,September,0,0,0,4
2023,8,August,0,0,8,0
2023,6,June,0,0,4,0
2023,5,May,0,0,2,4
2023,4,April,6,8,0,0
2023,3,March,1,0,16,19
2022,11,November,0,7,8,4
2022,9,September,0,1,18,26
2022,8,August,0,0,0,15
2022,7,July,0,0,40,37
2022,6,June,0,3,7,2
2022,5,May,2,2,1,1
2022,4,April,0,4,16,4
2022,3,March,0,0,4,0
2022,2,February,0,0,6,0
2022,1,January,0,5,0,5
2021,12,December,0,0,14,9
2021,11,November,1,3,12,4
2021,10,October,2,2,5,0
2021,9,September,0,0,6,0
2021,8,August,0,1,0,0
2021,7,July,0,0,7,0
2021,6,June,0,0,0,9
2021,1,January,0,10,0,0
2020,12,December,5,1,0,3
2020,11,November,0,0,10,6
2020,9,September,4,4,0,0
2020,8,August,0,1,4,10
2020,4,April,0,3,0,0
2020,3,March,0,1,0,7
2020,2,February,0,4,9,5
2020,1,January,0,0,0,2
2019,12,December,7,0,7,5
2019,11,November,2,9,9,23
2019,10,October,0,3,11,9
2019,9,September,0,0,4,0
2019,8,August,3,10,24,22
2019,7,July,2,0,0,14
2019,6,June,0,0,7,3
2019,5,May,0,0,0,1
2019,4,April,0,0,0,2
2019,3,March,0,0,21,7
2019,2,February,0,0,2,0
2019,1,January,0,0,1,0
