Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,0,10
2025,7,July,5,0,0,174
2025,6,June,3,0,0,123
2025,5,May,3,0,0,165
2025,4,April,0,0,0,24
2025,3,March,1,0,0,14
2025,2,February,1,0,0,52
2025,1,January,0,0,0,3
2024,12,December,8,0,0,73
2024,11,November,7,0,0,11
2024,10,October,1,0,0,5
2024,9,September,5,0,0,12
2024,8,August,1,0,0,27
2024,6,June,0,0,0,7
2024,5,May,5,0,0,24
2024,4,April,0,0,0,2
2024,3,March,4,0,0,8
2024,2,February,1,0,0,16
2024,1,January,0,0,0,14
2023,12,December,0,0,0,3
2023,11,November,63,0,0,1
2023,10,October,40,0,0,26
2023,9,September,3,0,0,15
2023,8,August,0,0,0,1
2023,7,July,1,0,0,1
2023,6,June,0,0,0,4
2023,5,May,7,0,0,10
2023,4,April,5,0,0,10
2023,3,March,0,0,0,1
2023,2,February,2,0,0,22
2023,1,January,0,0,0,13
2022,11,November,3,0,0,5
2022,10,October,4,0,0,15
2022,8,August,4,0,0,47
2022,7,July,1,0,0,0
2022,6,June,15,0,0,0
2022,5,May,0,0,0,4
2022,4,April,30,0,0,25
2022,3,March,4,0,0,11
2022,1,January,4,0,0,6
2021,12,December,4,0,0,0
