Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,3,1
2025,7,July,0,0,21,12
2025,6,June,0,1,31,11
2025,5,May,0,0,33,19
2025,4,April,0,2,20,0
2025,3,March,0,0,43,6
2025,2,February,0,0,17,4
2025,1,January,0,0,3,14
2024,12,December,0,0,10,13
2024,11,November,0,0,12,4
2024,10,October,0,0,0,2
2024,9,September,1,0,2,3
2024,8,August,0,0,6,6
2024,7,July,0,0,70,10
2024,6,June,0,0,14,4
2024,5,May,5,5,2,0
2024,4,April,0,0,13,15
2024,3,March,0,0,25,12
2024,2,February,0,0,13,12
2024,1,January,0,0,14,11
2023,12,December,0,0,13,8
2023,11,November,0,0,26,18
2023,10,October,0,0,0,9
2023,9,September,0,0,11,7
2023,8,August,0,0,2,0
2023,7,July,0,0,39,14
2023,6,June,0,4,36,23
2023,5,May,0,0,3,0
2023,4,April,0,0,18,24
2023,3,March,0,0,26,12
2023,2,February,0,0,2,0
2023,1,January,0,0,18,20
2022,12,December,0,0,7,2
2022,11,November,0,0,10,0
2022,10,October,0,0,1,0
2022,9,September,0,0,2,0
2022,8,August,0,0,5,26
2022,7,July,0,0,15,14
2022,6,June,0,0,11,10
2022,5,May,1,1,22,14
2022,4,April,0,0,26,5
2022,3,March,0,0,5,4
2022,2,February,0,0,11,4
2022,1,January,0,0,6,0
2021,12,December,2,4,12,7
2021,10,October,0,0,6,6
2021,9,September,0,0,1,0
2021,8,August,0,0,4,0
2021,7,July,0,0,0,5
2021,6,June,0,0,13,11
2021,5,May,0,0,10,0
2021,4,April,0,0,10,18
2021,3,March,0,0,6,7
2021,2,February,0,0,6,0
2020,12,December,0,1,0,0
2020,11,November,0,0,2,2
2020,10,October,0,0,2,0
2020,9,September,0,0,2,0
2020,8,August,0,0,9,9
2020,7,July,0,0,23,0
2020,5,May,0,0,1,0
2020,2,February,0,0,1,0
2020,1,January,0,0,3,8
2019,12,December,2,0,13,4
2019,11,November,0,0,2,2
2019,10,October,2,0,2,2
2019,8,August,0,0,4,4
2019,7,July,1,0,13,2
2019,6,June,0,3,26,5
2019,5,May,0,0,6,1
2019,4,April,0,2,24,12
2019,3,March,0,0,16,0
2019,2,February,0,0,1,1
2019,1,January,0,0,9,8
