Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,6,June,0,0,9,0
2024,11,November,0,0,6,0
2024,3,March,0,0,2,0
2024,1,January,0,0,8,0
2023,12,December,0,0,8,0
2023,7,July,0,0,6,0
2023,6,June,0,0,8,0
2023,5,May,0,0,8,0
2023,3,March,0,0,6,0
2023,1,January,0,0,8,0
2022,12,December,0,0,9,0
2022,6,June,0,0,6,0
2021,8,August,0,0,6,0
2020,12,December,0,0,8,0
2020,10,October,0,0,4,0
2020,9,September,0,0,6,0
2020,3,March,0,0,2,0
2019,8,August,0,0,4,0
2019,3,March,0,0,12,0
