Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,6,2,0
2025,6,June,0,0,4,0
2025,4,April,0,3,4,0
2025,3,March,0,10,2,0
2025,2,February,0,14,10,0
2025,1,January,0,11,0,0
2024,12,December,0,0,8,0
2024,11,November,0,2,4,0
2024,10,October,0,2,0,0
2024,9,September,0,2,7,0
2024,7,July,0,11,18,0
2024,5,May,0,0,6,0
2024,4,April,0,0,8,0
2024,3,March,0,10,24,0
2024,2,February,0,6,0,0
2024,1,January,0,0,2,0
2023,12,December,0,2,1,0
2023,11,November,0,0,6,0
2023,10,October,0,0,2,0
2023,9,September,0,4,5,0
2023,7,July,0,8,3,0
2023,4,April,0,0,2,0
2023,3,March,0,0,16,0
2023,1,January,0,4,4,0
2022,12,December,0,4,0,0
2022,11,November,0,0,6,0
2022,9,September,0,8,2,0
2022,8,August,0,2,4,0
2022,7,July,0,4,0,0
2022,6,June,0,0,33,0
2022,3,March,0,4,13,0
2022,1,January,0,0,5,0
2021,12,December,0,13,0,0
2021,11,November,0,0,3,0
2021,9,September,0,0,2,0
2021,8,August,0,1,8,0
2021,7,July,0,4,5,0
2021,3,March,0,0,6,0
2020,12,December,0,0,12,0
2020,10,October,0,1,1,0
2020,9,September,0,2,4,0
2020,8,August,0,1,6,0
2020,7,July,0,5,0,0
2020,1,January,0,3,0,0
2019,12,December,0,0,18,0
2019,11,November,0,0,4,0
2019,10,October,0,0,1,0
2019,9,September,0,0,3,0
2019,8,August,0,0,2,0
2019,7,July,0,16,5,0
2019,3,March,0,6,13,0
2019,2,February,0,12,4,0
2019,1,January,0,9,4,0
