Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,6,June,0,0,3,0
2025,2,February,0,0,0,1
2024,12,December,0,0,0,2
2024,7,July,0,0,0,43
2024,3,March,0,0,1,0
2023,7,July,1,0,0,8
2023,4,April,0,0,3,0
2022,5,May,0,0,0,7
2022,4,April,0,0,0,4
2022,3,March,0,0,0,4
2022,2,February,0,0,2,0
2021,10,October,1,0,0,0
2021,4,April,0,0,1,0
2021,3,March,0,0,2,0
2021,1,January,0,0,5,0
2020,8,August,1,0,4,3
2020,2,February,0,0,1,0
2020,1,January,0,1,3,0
2019,6,June,0,0,2,0
