Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,68,1271,475,554
2025,7,July,91,2046,1373,1411
2025,6,June,41,136,919,816
2025,5,May,3,531,929,209
2025,4,April,0,770,199,159
2025,3,March,1,142,70,90
2025,2,February,50,23,40,66
2025,1,January,4,19,23,39
2024,12,December,0,9,38,21
2024,11,November,4,8,37,9
2024,10,October,0,8,7,0
2024,9,September,6,1,2,3
2024,8,August,23,32,235,421
2024,7,July,73,91,1241,1309
2024,6,June,76,78,1343,1193
2024,5,May,2,15,152,29
2024,4,April,0,3,13,3
2024,3,March,0,10,1450,25
2024,2,February,37,5,1248,23
2024,1,January,0,409,543,103
2023,12,December,3,10,475,40
2023,11,November,0,7,148,31
2023,10,October,0,5,21,12
2023,9,September,5,9,25,15
2023,8,August,60,32,314,565
2023,7,July,83,87,1389,1412
2023,6,June,46,67,1254,1039
2023,5,May,4,9,160,14
2023,4,April,0,26,20,14
2023,3,March,0,151,94,0
2023,2,February,4,3,184,34
2023,1,January,5,5,18,15
2022,12,December,1,5,32,13
2022,11,November,7,6,221,47
2022,10,October,2,4,23,15
2022,9,September,2,9,13,11
2022,8,August,75,42,433,678
2022,7,July,70,897,2148,1326
2022,6,June,59,1872,1378,709
2022,5,May,95,107,385,99
2022,4,April,89,31,59,188
2022,3,March,199,198,1274,332
2022,2,February,153,151,95,91
2022,1,January,198,280,91,153
2021,12,December,579,2130,813,395
2021,11,November,1770,1510,337,340
2021,10,October,4105,1814,151,171
2021,9,September,3934,4191,384,528
2021,8,August,4173,2248,107,293
2021,7,July,3089,1606,154,173
2021,6,June,4080,1900,205,155
2021,5,May,3406,1244,75,200
2021,4,April,4,16,19,17
2021,3,March,3,36,24,7
2021,2,February,1,3,1,3
2021,1,January,9,12,9,7
2020,12,December,0,0,10,0
2020,11,November,7,9,16,8
2020,10,October,3,7,13,4
2020,9,September,2,0,11,15
2020,8,August,0,2,0,1
2020,7,July,0,2,0,2
2020,6,June,4,3,9,5
2020,4,April,1,0,0,0
2020,3,March,0,1,3,2
2020,2,February,6,3,3,3
2020,1,January,4,5,15,5
2019,12,December,9,16,38,23
2019,11,November,12,3,10,14
2019,10,October,3,10,20,13
2019,9,September,5,7,38,40
2019,8,August,4,6,10,9
2019,7,July,4,15,15,12
2019,6,June,5,7,6,10
2019,5,May,3,11,23,26
2019,4,April,3,6,16,2
2019,3,March,8,8,27,21
2019,2,February,6,14,27,8
2019,1,January,5,10,11,8
