Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1596,1859,6689,7554
2025,7,July,1578,1252,6611,7240
2025,6,June,1250,1239,6609,5918
2025,5,May,1374,1119,6144,5922
2025,4,April,939,894,5914,5435
2025,3,March,763,676,4303,3700
2025,2,February,267,313,2283,1908
2025,1,January,419,674,1866,2205
2024,12,December,798,1010,3094,2200
2024,11,November,547,599,1790,1753
2024,10,October,1135,1048,2825,3861
2024,9,September,1508,1334,4786,4496
2024,8,August,2455,1830,4655,5836
2024,7,July,1800,1475,4331,5303
2024,6,June,1422,1198,4749,4567
2024,5,May,1459,1538,5121,4434
2024,4,April,1519,1375,4137,3885
2024,3,March,987,948,1586,1276
2024,2,February,666,660,611,476
2024,1,January,783,902,650,868
2023,12,December,1273,1293,1821,1711
2023,11,November,1231,1382,1644,1807
2023,10,October,1528,1323,3084,4205
2023,9,September,1315,1248,4676,4569
2023,8,August,1452,1488,4559,4994
2023,7,July,1360,984,4257,5308
2023,6,June,1230,1094,5571,5367
2023,5,May,1164,1022,5799,5594
2023,4,April,1216,1085,5203,4973
2023,3,March,538,299,1692,1763
2023,2,February,201,256,1394,1315
2023,1,January,279,187,892,2098
2022,12,December,451,441,2432,1441
2022,11,November,31,62,442,266
2022,10,October,459,411,390,404
2022,9,September,458,424,612,557
2022,8,August,479,489,2000,1800
2022,7,July,544,457,2493,2407
2022,6,June,560,556,2472,2209
2022,5,May,95,97,1755,2148
2022,4,April,270,213,4954,5122
2022,3,March,560,332,4151,4358
2022,2,February,79,92,2427,2111
2022,1,January,77,61,1150,1370
2021,12,December,85,109,1516,1429
2021,11,November,89,118,1692,1645
2021,10,October,56,67,1659,1767
2021,9,September,147,110,1563,1764
2021,8,August,248,242,3838,4127
2021,7,July,249,211,4352,4321
2021,6,June,217,202,4008,3814
2021,5,May,207,204,3190,3039
2021,4,April,25,30,1113,1013
2021,3,March,19,20,451,273
2021,2,February,11,13,318,232
2021,1,January,27,14,203,272
2020,12,December,6,49,445,304
2020,11,November,76,61,233,251
2020,10,October,31,34,25,23
2020,9,September,32,29,20,20
2020,8,August,2,2,4,4
2020,7,July,0,0,0,4
2020,6,June,1,2,6,0
2020,3,March,463,711,1022,1355
2020,2,February,1069,1064,2608,2631
2020,1,January,1393,1478,2491,2669
2019,12,December,1985,2215,3094,2917
2019,11,November,1800,1942,2674,2950
2019,10,October,2477,2545,4816,5612
2019,9,September,2330,2361,5827,5887
2019,8,August,2864,2847,6273,6795
2019,7,July,2342,2234,5850,6703
2019,6,June,2132,2183,6986,6498
2019,5,May,1901,2159,5823,5263
2019,4,April,1922,1820,5567,5446
2019,3,March,1505,1463,3814,3783
2019,2,February,1067,936,2392,2444
2019,1,January,1544,1370,2333,2611
