Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,1,January,0,6,0,0
2024,7,July,0,0,4,0
2024,4,April,0,0,1,0
2024,3,March,0,11,6,0
2024,1,January,0,0,2,0
2023,12,December,0,0,7,0
2023,3,March,0,0,13,0
2023,2,February,0,0,4,0
2022,12,December,0,0,10,0
2022,4,April,0,3,1,0
2022,2,February,0,2,2,0
2022,1,January,0,13,2,0
2021,12,December,0,0,5,0
2021,5,May,0,0,0,142
2021,4,April,0,0,2,0
2021,3,March,0,0,2,0
2021,1,January,0,0,2,0
2020,11,November,0,0,2,0
2019,12,December,0,0,2,0
2019,5,May,0,0,3,0
2019,3,March,0,6,0,0
2019,2,February,0,2,9,0
