Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,1,0
2025,7,July,0,0,1,0
2024,12,December,0,0,9,0
2024,7,July,0,0,1,0
2024,6,June,0,0,6,0
2024,5,May,0,2,0,0
2023,12,December,0,1,3,0
2023,9,September,0,0,8,0
2023,7,July,0,1,3,0
2023,4,April,0,0,9,0
2023,2,February,0,0,1,0
2023,1,January,0,0,2,0
2022,7,July,0,2,0,0
2022,2,February,0,0,7,0
2021,12,December,0,0,15,0
2021,9,September,0,0,1,0
2021,6,June,0,1,7,0
2021,4,April,0,0,5,0
2021,2,February,0,0,4,0
2020,11,November,0,0,7,0
2020,6,June,0,0,4,0
2019,10,October,0,3,0,0
2019,8,August,0,0,4,0
2019,7,July,0,0,2,0
2019,5,May,0,0,2,0
2019,3,March,0,0,9,0
2019,2,February,0,5,8,0
2019,1,January,0,0,2,0
