Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,2,0
2025,6,June,0,0,2,0
2025,5,May,0,0,12,0
2025,4,April,0,1,6,0
2025,3,March,0,0,14,0
2025,1,January,0,0,11,0
2024,12,December,0,1,44,0
2024,11,November,2,0,4,0
2024,10,October,0,23,1,0
2024,6,June,0,4,0,0
2024,5,May,0,0,4,0
2024,4,April,0,10,2,0
2024,3,March,0,0,5,0
2024,2,February,0,0,0,1
2024,1,January,0,2,2,0
2023,11,November,0,0,6,0
2023,8,August,0,0,9,0
2023,3,March,0,1,5,0
2022,11,November,0,0,2,0
2022,10,October,0,0,2,0
2022,7,July,0,0,6,0
2022,5,May,0,0,6,0
2021,3,March,0,0,6,0
2021,1,January,0,0,4,0
2019,11,November,0,0,2,0
2019,10,October,0,1,0,0
2019,8,August,0,8,2,0
