Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,9,45,2
2025,7,July,6,12,74,14
2025,6,June,2,31,71,19
2025,5,May,1,6,45,25
2025,4,April,0,13,25,3
2025,3,March,0,7,37,3
2025,2,February,0,2,15,0
2025,1,January,10,4,36,5
2024,12,December,1,10,50,10
2024,11,November,0,2,90,8
2024,10,October,0,21,64,0
2024,9,September,5,28,88,21
2024,8,August,1,24,77,11
2024,7,July,3,20,68,29
2024,6,June,2,11,72,6
2024,5,May,0,15,55,0
2024,4,April,0,5,40,12
2024,3,March,0,4,34,10
2024,2,February,0,4,31,4
2024,1,January,0,0,14,0
2023,12,December,10,3,29,0
2023,11,November,0,4,53,0
2023,10,October,3,7,72,5
2023,9,September,0,13,68,6
2023,8,August,4,24,75,16
2023,7,July,5,15,109,19
2023,6,June,0,19,52,1
2023,5,May,9,9,47,11
2023,4,April,0,4,69,5
2023,3,March,8,21,59,9
2023,2,February,0,0,30,7
2023,1,January,9,9,49,11
2022,12,December,0,12,44,8
2022,11,November,7,24,44,9
2022,10,October,0,23,48,6
2022,9,September,8,6,60,3
2022,8,August,0,8,48,4
2022,7,July,0,8,74,35
2022,6,June,0,14,52,7
2022,5,May,0,18,80,9
2022,4,April,1,9,25,19
2022,3,March,3,6,24,6
2022,2,February,0,2,15,0
2022,1,January,3,1,61,2
2021,12,December,0,4,18,1
2021,11,November,2,10,44,6
2021,10,October,1,15,46,2
2021,9,September,0,14,43,3
2021,8,August,1,1,36,3
2021,7,July,0,1,10,0
2021,6,June,0,1,11,0
2021,5,May,0,0,31,0
2021,4,April,0,0,32,0
2021,3,March,0,0,23,0
2021,2,February,0,1,42,0
2021,1,January,1,1,18,4
2020,12,December,0,1,47,3
2020,11,November,0,0,51,0
2020,10,October,0,0,28,0
2020,9,September,0,0,5,0
2020,8,August,0,0,14,6
2020,7,July,3,13,6,1
2020,6,June,0,3,2,3
2020,5,May,0,0,5,0
2020,4,April,0,2,0,0
2020,3,March,4,4,21,10
2020,2,February,3,14,43,28
2020,1,January,14,12,40,34
2019,12,December,10,8,43,26
2019,11,November,24,16,24,16
2019,10,October,2,27,31,3
2019,9,September,5,6,54,41
2019,8,August,4,5,50,18
2019,7,July,1,15,78,58
2019,6,June,4,6,58,21
2019,5,May,9,16,39,21
2019,4,April,17,28,38,38
2019,3,March,10,22,43,28
2019,2,February,10,15,22,17
2019,1,January,13,11,44,23
