Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2024,6,June,0,0,2,2
2023,11,November,2,0,2,7
2023,10,October,0,4,0,2
2023,7,July,0,0,2,9
2023,5,May,7,1,2,0
2023,4,April,5,0,0,3
2023,3,March,2,0,0,0
2023,1,January,2,0,0,0
2022,12,December,0,1,8,0
2022,9,September,0,5,0,0
2022,5,May,2,0,0,0
2022,3,March,0,3,0,0
2021,7,July,0,0,4,2
2021,3,March,0,0,0,8
2020,12,December,1,1,19,11
2020,11,November,0,0,3,0
2020,1,January,0,7,0,0
2019,11,November,0,0,0,8
2019,8,August,1,0,0,5
2019,6,June,4,1,3,3
2019,5,May,0,1,0,0
2019,4,April,0,0,0,11
2019,1,January,5,6,0,8
