Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,2,0
2025,4,April,0,0,4,0
2025,3,March,0,0,7,0
2024,12,December,0,10,5,0
2024,8,August,0,0,8,0
2024,6,June,0,0,10,0
2024,5,May,0,28,5,0
2024,3,March,0,8,5,0
2024,2,February,0,3,17,0
2024,1,January,0,2,6,0
2023,11,November,0,1,8,0
2023,8,August,0,0,13,0
2023,7,July,0,2,5,0
2023,4,April,0,0,5,0
2023,3,March,0,0,6,0
2023,1,January,0,14,14,0
2022,10,October,0,13,25,0
2022,8,August,0,0,2,0
2022,6,June,0,0,2,0
2022,5,May,0,0,3,0
2022,4,April,0,1,15,0
2021,11,November,0,1,3,0
2019,12,December,0,0,5,0
2019,11,November,0,17,0,0
2019,10,October,0,0,9,0
2019,9,September,0,0,17,0
2019,8,August,0,0,11,0
2019,6,June,0,0,3,0
2019,5,May,0,0,7,0
2019,3,March,0,1,5,0
