Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,138868,139033,27506,33303
2025,7,July,121242,111962,37296,52977
2025,6,June,94912,100113,55783,53275
2025,5,May,98923,110174,45640,37770
2025,4,April,103559,97345,44569,53354
2025,3,March,110464,116960,59020,57390
2025,2,February,114129,118460,36562,36065
2025,1,January,125448,130602,33865,52595
2024,12,December,131075,117998,51910,41317
2024,11,November,109394,111396,42229,46122
2024,10,October,111420,115755,49452,46995
2024,9,September,117341,117361,32719,30388
2024,8,August,134922,133350,27883,37055
2024,7,July,114520,105650,39861,57587
2024,6,June,103106,106851,59175,51208
2024,5,May,95954,110605,42393,35908
2024,4,April,97811,97404,36117,43981
2024,3,March,117102,121734,55939,53966
2024,2,February,122654,124214,34643,32749
2024,1,January,118317,131788,30492,45523
2023,12,December,137461,123691,43667,36499
2023,11,November,116282,119383,35657,39243
2023,10,October,110639,112816,39554,37203
2023,9,September,117743,114828,28474,27099
2023,8,August,129881,122680,24913,40092
2023,7,July,105744,102673,37070,49796
2023,6,June,96433,97198,44485,43185
2023,5,May,86428,97162,36097,31474
2023,4,April,86790,82429,30529,36614
2023,3,March,92674,92553,43878,42871
2023,2,February,82084,83993,25914,26453
2023,1,January,93139,104897,25891,39458
2022,12,December,99384,89837,36837,31051
2022,11,November,72653,73962,23429,26151
2022,10,October,74800,78996,22577,20574
2022,9,September,71597,71677,17399,15268
2022,8,August,77755,74721,14691,21357
2022,7,July,67809,59164,17177,25236
2022,6,June,47266,47160,18016,15598
2022,5,May,43555,45313,12764,11633
2022,4,April,45427,42938,9026,9522
2022,3,March,33401,31546,8128,8105
2022,2,February,16526,15138,3615,3934
2022,1,January,16092,19338,3840,4832
2021,12,December,24264,17956,4285,6298
2021,11,November,13054,11052,3022,3267
2021,10,October,7146,5763,2198,2399
2021,9,September,4693,4899,1998,2004
2021,8,August,7034,5263,2265,3182
2021,7,July,4868,3009,2318,3634
2021,6,June,3020,3381,1721,2721
2021,5,May,2432,2595,1192,1504
2021,4,April,2234,1818,803,1405
2021,3,March,1835,2020,769,1051
2021,2,February,1653,1535,673,917
2021,1,January,2982,2923,712,1434
2020,12,December,3654,2572,894,1384
2020,11,November,959,1156,370,528
2020,10,October,684,850,269,532
2020,9,September,446,449,198,291
2020,8,August,805,579,311,369
2020,7,July,590,213,137,848
2020,6,June,380,216,114,438
2020,5,May,93,4,7,71
2020,4,April,320,605,85,626
2020,3,March,67325,108631,11357,20955
2020,2,February,184482,195423,23262,27496
2020,1,January,212493,226188,28235,43314
2019,12,December,219571,202248,38045,33805
2019,11,November,196018,198255,28281,31746
2019,10,October,201140,210076,31344,31654
2019,9,September,217407,216459,23965,23239
2019,8,August,230745,230546,22518,29140
2019,7,July,212770,208416,31798,42553
2019,6,June,195896,194491,36228,39766
2019,5,May,187386,209757,30443,31648
2019,4,April,193465,177654,30397,36688
2019,3,March,202047,203225,41648,43078
2019,2,February,200135,206885,26379,27800
2019,1,January,213659,223419,28044,40954
