Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,3,March,0,0,5,0
2025,2,February,0,0,3,0
2025,1,January,0,0,6,0
2024,7,July,0,0,5,0
2024,6,June,0,0,1,0
2024,5,May,0,0,1,0
2024,4,April,0,0,2,0
2024,3,March,0,0,0,1
2023,11,November,0,0,8,0
2023,8,August,0,0,3,0
2023,6,June,0,0,0,2
2023,4,April,0,0,0,1
2023,3,March,0,0,30,0
2023,1,January,0,0,1,0
2022,11,November,0,0,1,0
2022,8,August,0,0,4,0
2022,7,July,0,0,1,0
2022,6,June,0,0,1,0
2021,12,December,0,0,0,1
2021,9,September,0,0,0,1
2021,6,June,0,0,0,4
2021,5,May,0,0,3,0
2021,1,January,0,0,0,1
2020,12,December,0,0,2,0
2020,7,July,0,0,10,1
2020,6,June,0,1,13,2
2020,2,February,0,0,4,0
2019,10,October,0,0,0,9
2019,7,July,0,0,0,11
2019,5,May,0,0,0,5
2019,4,April,0,0,0,2
2019,3,March,0,0,0,8
2019,2,February,0,0,0,1
