Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1,0,0,0
2025,7,July,2,0,0,0
2025,6,June,0,1,6,5
2025,5,May,1,0,0,0
2025,4,April,1,1,0,0
2025,1,January,6,0,0,0
2024,10,October,2,0,0,0
2024,9,September,1,0,0,0
2024,8,August,0,1,0,2
2024,7,July,1,0,0,0
2024,6,June,1,0,0,1
2023,11,November,1,2,0,0
2023,10,October,0,0,0,1
2023,9,September,1,0,1,2
2023,8,August,1,0,0,0
2023,7,July,1,0,0,0
2023,6,June,0,0,4,0
2023,5,May,0,0,0,1
2022,10,October,0,1,0,1
2022,9,September,0,0,0,1
2022,8,August,0,0,0,2
2022,7,July,1,1,1,0
2022,5,May,0,0,0,1
2022,4,April,5,0,0,0
2021,9,September,0,0,0,1
2021,8,August,1,0,0,0
2020,11,November,1,0,0,0
2019,10,October,0,0,0,1
2019,9,September,0,0,2,1
2019,8,August,0,0,0,9
2019,7,July,5,1,0,1
2019,5,May,0,3,2,5
