Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,244484,253224,303914,384699
2025,7,July,231151,232369,460612,490500
2025,6,June,189602,210284,465436,439061
2025,5,May,210670,224911,373490,330604
2025,4,April,236904,227348,280294,300488
2025,3,March,209104,209081,351770,368834
2025,2,February,184673,186446,258140,266038
2025,1,January,218877,243592,266393,347771
2024,12,December,265334,275775,383388,313859
2024,11,November,208658,235000,289903,278863
2024,10,October,221871,230035,277748,278221
2024,9,September,217586,217656,249389,265891
2024,8,August,249584,248405,289859,357254
2024,7,July,233267,222519,407414,440084
2024,6,June,208464,214145,449553,423435
2024,5,May,224983,230383,359140,313100
2024,4,April,230334,227309,273018,297600
2024,3,March,239314,222798,334914,340931
2024,2,February,208717,202874,262996,265146
2024,1,January,229840,247783,251512,327533
2023,12,December,252930,253752,349865,281348
2023,11,November,211124,232808,275932,273781
2023,10,October,225166,235770,259798,272955
2023,9,September,219106,215504,253089,254359
2023,8,August,256127,249959,290532,360510
2023,7,July,238342,229011,414452,447761
2023,6,June,199633,201712,431012,394688
2023,5,May,210053,220847,326589,292325
2023,4,April,233905,222740,258180,278533
2023,3,March,209823,192958,316843,323817
2023,2,February,171827,166723,248359,255198
2023,1,January,196882,206607,252024,317037
2022,12,December,207277,216417,323908,266206
2022,11,November,174438,194536,262102,262821
2022,10,October,187644,193343,237276,241457
2022,9,September,175687,174204,224996,225070
2022,8,August,208008,199613,255630,327253
2022,7,July,190657,184107,359523,383756
2022,6,June,154794,164151,367464,333582
2022,5,May,169107,176560,275559,249610
2022,4,April,184118,174998,234728,243522
2022,3,March,151722,148170,255773,261132
2022,2,February,122974,118547,179245,179628
2022,1,January,146162,151796,164762,236359
2021,12,December,172941,192320,274451,211975
2021,11,November,150536,165606,212802,216770
2021,10,October,147622,137019,182266,177715
2021,9,September,131805,119826,158999,162506
2021,8,August,166535,148139,191444,260971
2021,7,July,169260,152202,278331,283889
2021,6,June,160481,157847,253246,226442
2021,5,May,166272,163500,169038,156682
2021,4,April,138976,128054,124986,133217
2021,3,March,103584,84488,116992,114037
2021,2,February,48054,43120,57249,57604
2021,1,January,73880,64368,70490,122742
2020,12,December,75170,90346,143621,103203
2020,11,November,54841,59920,93094,92267
2020,10,October,46364,46904,82422,75159
2020,9,September,35507,34655,58757,57179
2020,8,August,29575,29626,49454,55824
2020,7,July,22818,24576,42729,41936
2020,6,June,14492,16782,13086,15225
2020,5,May,8917,10952,4584,9906
2020,4,April,6078,10821,2735,9187
2020,3,March,101852,116438,132067,193036
2020,2,February,202623,200804,228379,239382
2020,1,January,241199,254588,237338,301381
2019,12,December,261117,268631,321913,269563
2019,11,November,218881,239361,255616,249291
2019,10,October,224076,228616,233188,229553
2019,9,September,208347,206677,194997,209399
2019,8,August,246040,242882,265042,330062
2019,7,July,239590,228643,365076,396742
2019,6,June,196935,210088,384342,351558
2019,5,May,223258,233495,288593,261996
2019,4,April,244068,231048,233056,250566
2019,3,March,224511,222380,302703,310887
2019,2,February,202092,198876,218085,215581
2019,1,January,239649,253864,230622,291999
