Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,3,March,0,0,2,0
2024,11,November,0,0,3,0
2024,3,March,0,9,0,0
2024,2,February,0,4,0,0
2024,1,January,0,0,2,0
2023,12,December,0,2,0,0
2023,11,November,0,0,5,0
2023,10,October,0,2,0,0
2023,7,July,0,9,0,0
2023,5,May,0,3,4,0
2023,4,April,0,12,0,0
2023,3,March,0,12,2,0
2023,2,February,0,1,2,0
2023,1,January,0,3,0,0
2022,12,December,0,6,0,0
2022,8,August,0,0,1,0
2022,5,May,0,0,2,0
2022,4,April,0,9,1,0
2022,3,March,0,4,0,0
2021,10,October,0,1,0,0
2021,7,July,0,0,2,0
2021,5,May,0,0,3,0
2019,10,October,0,1,0,0
2019,8,August,0,3,0,0
2019,4,April,0,2,0,0
