Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,4,1,0
2025,6,June,0,6,3,0
2025,4,April,0,1,5,0
2025,3,March,0,0,2,0
2025,2,February,0,0,2,0
2025,1,January,0,6,1,0
2024,12,December,0,0,3,0
2024,7,July,0,0,8,0
2024,5,May,4,0,1,0
2024,4,April,0,0,4,2
2024,3,March,0,1,2,0
2024,2,February,0,1,4,0
2024,1,January,0,0,3,0
2023,12,December,0,1,10,0
2023,8,August,0,0,2,0
2023,4,April,0,0,2,0
2023,3,March,3,0,8,1
2023,2,February,0,0,2,0
2023,1,January,0,0,2,0
2022,12,December,0,0,2,0
2022,8,August,3,0,0,0
2022,6,June,0,9,0,0
2022,4,April,0,0,6,0
2022,3,March,0,6,5,0
2022,2,February,0,0,9,0
2021,10,October,0,2,0,0
2021,9,September,0,1,1,0
2021,1,January,0,0,2,0
2020,3,March,1,0,0,0
2020,2,February,0,0,2,0
2019,5,May,1,0,3,0
2019,3,March,0,3,0,0
