Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,5,1,9,0
2025,7,July,0,1,8,9
2025,6,June,11,8,4,2
2025,5,May,13,3,22,12
2025,4,April,9,1,1,2
2025,3,March,0,0,12,0
2025,2,February,0,3,12,20
2025,1,January,7,16,23,34
2024,12,December,2,2,31,2
2024,11,November,4,14,18,1
2024,10,October,0,6,5,12
2024,8,August,1,0,20,35
2024,7,July,6,6,14,6
2024,6,June,14,11,33,19
2024,5,May,5,0,9,4
2024,4,April,25,32,3,7
2024,3,March,4,0,11,3
2024,2,February,10,37,20,9
2024,1,January,5,11,14,2
2023,12,December,0,0,7,0
2023,11,November,0,3,9,19
2023,10,October,14,9,21,4
2023,9,September,11,1,3,2
2023,8,August,10,8,11,0
2023,7,July,1,8,37,0
2023,6,June,18,34,15,34
2023,5,May,21,28,25,20
2023,4,April,8,13,16,4
2023,3,March,15,6,16,6
2023,2,February,18,10,30,15
2023,1,January,9,12,19,16
2022,12,December,15,0,12,3
2022,11,November,0,0,4,4
2022,10,October,9,14,15,0
2022,9,September,18,30,8,14
2022,8,August,33,6,0,6
2022,7,July,0,12,20,0
2022,6,June,20,17,16,4
2022,5,May,19,8,37,36
2022,4,April,15,4,0,6
2022,3,March,4,0,14,8
2022,2,February,7,8,5,1
2022,1,January,8,2,11,1
2021,12,December,9,10,11,16
2021,11,November,17,7,1,1
2021,10,October,26,9,26,10
2021,9,September,19,15,2,0
2021,8,August,28,11,0,1
2021,7,July,16,11,19,18
2021,6,June,0,0,9,13
2021,5,May,8,6,2,0
2021,4,April,38,4,4,23
2021,3,March,40,42,33,11
2021,2,February,17,37,11,2
2021,1,January,14,20,0,1
2020,12,December,15,12,8,4
2020,11,November,15,3,4,1
2020,10,October,18,6,0,2
2020,9,September,13,10,2,3
2020,8,August,21,4,0,1
2020,7,July,16,19,12,12
2020,6,June,9,14,0,0
2020,5,May,0,0,4,0
2020,3,March,8,4,0,17
2020,2,February,16,21,19,20
2020,1,January,36,11,9,6
2019,12,December,22,16,1,2
2019,11,November,26,8,6,1
2019,10,October,17,12,16,4
2019,9,September,34,27,14,17
2019,8,August,9,0,0,4
2019,7,July,9,3,9,2
2019,6,June,15,7,11,194
2019,5,May,60,14,9,8
2019,4,April,6,11,7,19
2019,3,March,21,13,8,17
2019,2,February,19,10,30,15
2019,1,January,38,13,9,6
