Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,7,6,1,14
2025,7,July,0,0,8,14
2025,6,June,0,0,8,18
2025,5,May,0,0,4,0
2025,4,April,7,0,2,2
2025,3,March,0,0,11,6
2025,2,February,0,0,31,0
2024,12,December,0,0,0,4
2024,11,November,0,0,0,5
2024,10,October,0,0,1,0
2024,9,September,2,0,2,3
2024,8,August,2,3,11,1
2024,7,July,6,0,8,25
2024,6,June,1,0,15,15
2024,3,March,0,0,4,4
2024,2,February,0,0,0,13
2023,11,November,0,0,1,0
2023,10,October,0,1,1,0
2023,8,August,6,15,0,9
2023,7,July,2,7,11,11
2023,6,June,2,0,2,7
2023,5,May,1,0,0,4
2023,4,April,0,0,0,3
2022,12,December,0,0,5,0
2022,11,November,0,1,1,0
2022,10,October,0,0,1,0
2022,9,September,3,16,0,2
2022,8,August,20,9,0,0
2022,7,July,3,0,3,8
2022,6,June,0,1,5,9
2022,5,May,0,2,5,0
2022,3,March,0,0,0,1
2022,2,February,0,0,2,0
2022,1,January,0,0,4,4
2021,11,November,0,0,0,7
2021,10,October,0,0,0,1
2021,9,September,0,0,11,10
2021,8,August,10,7,8,8
2021,7,July,0,2,9,0
2021,5,May,0,0,0,4
2021,4,April,5,0,4,4
2020,12,December,0,0,4,0
2020,11,November,0,2,2,0
2020,9,September,0,0,2,4
2020,8,August,2,5,10,8
2020,7,July,0,2,4,0
2020,6,June,0,0,0,4
2020,2,February,0,0,4,8
2019,11,November,0,0,0,5
2019,9,September,2,3,12,10
2019,8,August,14,3,7,10
2019,7,July,0,0,8,0
2019,6,June,14,11,8,5
2019,1,January,0,0,0,14
