Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,5,May,0,2,0,0
2025,2,February,0,7,0,0
2025,1,January,0,2,0,0
2024,11,November,0,4,0,0
2024,9,September,0,2,0,0
2024,8,August,0,0,3,0
2024,5,May,0,3,0,0
2024,4,April,0,7,0,0
2024,2,February,0,6,0,0
2024,1,January,0,2,1,0
2023,3,March,0,2,0,0
2022,8,August,0,1,0,0
2022,5,May,0,2,0,0
2021,11,November,0,4,0,0
2021,7,July,0,0,6,0
2020,2,February,1,0,0,0
2019,7,July,0,3,0,0
2019,5,May,0,0,4,0
2019,2,February,0,6,5,0
