Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1526,1529,2906,3488
2025,7,July,1484,1431,4872,5921
2025,6,June,1595,1192,5602,6141
2025,5,May,1415,1388,4007,3363
2025,4,April,161,36,781,1041
2025,3,March,77,94,2722,2626
2025,2,February,96,60,3083,3614
2025,1,January,75,50,3792,3258
2024,12,December,97,107,1538,951
2024,11,November,55,76,1427,1300
2024,10,October,622,685,817,1280
2024,9,September,724,661,1155,1275
2024,8,August,805,765,1191,1557
2024,7,July,658,619,2790,3570
2024,6,June,650,771,3283,2715
2024,5,May,1191,937,2366,2025
2024,4,April,1092,932,1807,2202
2024,3,March,883,887,3687,3431
2024,2,February,1030,865,4423,4487
2024,1,January,875,834,3618,3051
2023,12,December,978,967,2434,1928
2023,11,November,926,934,1802,1525
2023,10,October,1138,1050,1196,1199
2023,9,September,1033,1008,1408,1166
2023,8,August,1334,1373,1937,1944
2023,7,July,1671,1174,3422,4177
2023,6,June,1332,1133,3911,2863
2023,5,May,1114,1021,2378,1571
2023,4,April,901,917,2322,2541
2023,3,March,844,869,3420,3072
2023,2,February,657,516,4086,4360
2023,1,January,620,521,3221,2641
2022,12,December,675,692,2145,1988
2022,11,November,654,647,1775,1641
2022,10,October,652,584,741,702
2022,9,September,714,618,1023,1049
2022,8,August,1099,937,1618,1982
2022,7,July,917,803,2304,2766
2022,6,June,823,568,2327,2003
2022,5,May,400,384,1023,746
2022,4,April,77,77,1887,1832
2022,3,March,151,83,2908,2487
2022,2,February,146,97,3755,4392
2022,1,January,167,98,3959,3813
2021,12,December,86,146,1081,785
2021,11,November,149,97,748,710
2021,10,October,63,19,971,956
2021,9,September,49,62,536,503
2021,8,August,115,76,596,1014
2021,7,July,115,76,1347,1388
2021,6,June,193,57,939,1010
2021,5,May,29,18,932,748
2021,4,April,57,40,1092,1309
2021,3,March,90,71,2170,1757
2021,2,February,33,38,1018,820
2021,1,January,36,16,611,864
2020,12,December,10,25,842,352
2020,11,November,25,6,435,192
2020,10,October,6,12,82,41
2020,9,September,7,13,84,53
2020,8,August,10,12,3,3
2020,7,July,4,5,7,9
2020,6,June,3,5,1,9
2020,5,May,5,4,1,1
2020,4,April,0,3,0,0
2020,3,March,622,699,2042,3024
2020,2,February,1799,1502,5506,6220
2020,1,January,1909,1688,5004,5486
2019,12,December,1965,2567,4385,3294
2019,11,November,1828,1876,2974,3322
2019,10,October,2163,2301,5117,5936
2019,9,September,2591,2400,6026,5855
2019,8,August,3300,2933,5780,6415
2019,7,July,3349,2540,7678,9447
2019,6,June,2262,2351,10177,9566
2019,5,May,2282,2579,6826,5724
2019,4,April,2141,1853,4323,5314
2019,3,March,1800,1648,6677,6023
2019,2,February,1617,1481,4462,4829
2019,1,January,2195,1610,3961,4003
