Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,2,3,43,145
2025,7,July,4,3,46,171
2025,6,June,8,0,40,154
2025,5,May,1,1,4,70
2025,4,April,0,4,9,2
2025,3,March,0,7,2,10
2025,2,February,0,0,1,4
2025,1,January,0,0,0,6
2024,12,December,4,0,0,4
2024,11,November,0,3,2,7
2024,10,October,14,13,8,34
2024,9,September,15,18,13,130
2024,8,August,12,7,34,143
2024,7,July,7,1,31,175
2024,6,June,4,9,41,185
2024,5,May,8,5,25,51
2024,4,April,3,3,0,4
2024,3,March,1,0,0,3
2024,2,February,9,7,0,13
2024,1,January,2,0,6,17
2023,12,December,0,0,11,16
2023,11,November,6,6,0,26
2023,10,October,9,5,10,54
2023,9,September,14,0,16,95
2023,8,August,17,12,32,127
2023,7,July,9,6,14,121
2023,6,June,7,3,47,209
2023,5,May,4,1,6,67
2023,3,March,4,0,5,10
2023,2,February,11,0,1,2
2023,1,January,4,0,0,3
2022,12,December,4,0,0,11
2022,11,November,6,0,2,8
2022,10,October,4,0,1,33
2022,9,September,9,9,13,107
2022,8,August,5,4,36,118
2022,7,July,3,0,20,111
2022,6,June,2,1,24,183
2022,5,May,5,1,13,42
2022,4,April,0,2,14,2
2022,3,March,2,3,2,3
2022,2,February,1,0,0,7
2022,1,January,0,0,0,17
2021,12,December,0,0,0,5
2021,11,November,0,4,0,5
2021,10,October,1,1,0,33
2021,9,September,3,0,0,28
2021,8,August,0,0,9,51
2021,7,July,0,0,1,2
2021,6,June,0,0,0,8
2021,5,May,1,0,0,1
2021,4,April,0,0,4,11
2021,2,February,0,0,0,12
2020,12,December,0,0,4,4
2020,10,October,0,0,0,2
2020,9,September,0,0,0,3
2020,8,August,3,0,0,4
2020,7,July,1,2,0,0
2020,3,March,4,7,0,19
2020,2,February,2,2,0,14
2020,1,January,5,0,0,14
2019,12,December,0,0,0,3
2019,11,November,1,0,0,23
2019,10,October,12,1,5,59
2019,9,September,6,5,20,145
2019,8,August,3,0,28,140
2019,7,July,8,0,27,185
2019,6,June,18,0,11,238
2019,5,May,10,6,8,52
2019,4,April,2,1,8,8
2019,3,March,30,21,13,17
2019,2,February,1,0,0,18
2019,1,January,14,4,0,23
