Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,4,11,26,53
2025,7,July,6,7,39,23
2025,6,June,18,13,35,36
2025,5,May,17,2,30,76
2025,4,April,4,1,31,46
2025,3,March,11,9,10,22
2025,2,February,8,11,37,75
2025,1,January,36,40,322,363
2024,12,December,14,16,65,53
2024,11,November,1,2,30,42
2024,10,October,0,0,6,13
2024,9,September,25,14,20,42
2024,8,August,23,10,26,21
2024,7,July,10,9,44,102
2024,6,June,8,85,41,40
2024,5,May,6,3,27,38
2024,4,April,19,16,12,33
2024,3,March,11,4,31,58
2024,2,February,7,6,66,39
2024,1,January,9,12,32,118
2023,12,December,2,13,42,2
2023,11,November,10,6,33,35
2023,10,October,6,16,4,42
2023,9,September,6,12,28,4
2023,8,August,7,2,58,99
2023,7,July,2,8,100,47
2023,6,June,5,6,84,21
2023,5,May,4,12,38,46
2023,4,April,5,2,31,43
2023,3,March,10,4,20,25
2023,2,February,8,0,61,58
2023,1,January,12,8,27,98
2022,12,December,4,14,88,20
2022,11,November,4,1,7,27
2022,10,October,1,7,24,27
2022,9,September,16,8,19,47
2022,8,August,11,5,65,103
2022,7,July,9,12,69,42
2022,6,June,5,19,47,59
2022,5,May,4,2,33,27
2022,4,April,6,8,33,71
2022,3,March,10,10,27,64
2022,2,February,31,8,53,80
2022,1,January,38,28,67,123
2021,12,December,3,8,81,9
2021,11,November,13,3,8,43
2021,10,October,11,8,19,23
2021,9,September,40,18,8,26
2021,8,August,7,8,24,97
2021,7,July,13,11,51,48
2021,6,June,8,26,34,26
2021,5,May,8,2,9,42
2021,4,April,3,14,31,27
2021,3,March,3,7,35,20
2021,2,February,2,5,41,27
2021,1,January,15,8,20,121
2020,12,December,8,25,80,11
2020,11,November,1,6,15,30
2020,10,October,6,4,11,15
2020,9,September,3,2,5,5
2020,8,August,0,1,12,21
2020,7,July,9,7,36,27
2020,6,June,0,5,2,1
2020,5,May,0,12,2,6
2020,3,March,2,6,15,18
2020,2,February,11,4,12,22
2020,1,January,44,34,372,465
2019,12,December,18,23,71,24
2019,11,November,2,5,16,4
2019,10,October,2,3,15,40
2019,9,September,14,6,7,39
2019,8,August,11,5,57,76
2019,7,July,7,6,22,47
2019,6,June,8,15,19,24
2019,5,May,14,8,54,33
2019,4,April,5,4,47,47
2019,3,March,6,4,23,38
2019,2,February,5,4,34,45
2019,1,January,3,6,24,50
