Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,0,1
2025,7,July,0,1,4,0
2025,6,June,0,4,7,0
2025,5,May,0,2,20,0
2025,3,March,0,2,0,0
2025,1,January,2,0,2,11
2024,12,December,2,2,4,0
2024,11,November,1,2,1,1
2024,10,October,2,3,8,4
2024,9,September,17,0,8,6
2024,8,August,2,2,0,4
2024,7,July,1,1,4,6
2024,6,June,0,1,17,14
2024,5,May,0,0,2,1
2024,3,March,6,1,7,6
2024,2,February,0,0,9,9
2024,1,January,0,2,0,0
2023,11,November,3,0,0,1
2023,10,October,3,2,0,1
2023,9,September,7,11,3,0
2023,8,August,3,5,0,0
2023,7,July,0,4,4,5
2023,6,June,0,1,2,2
2023,5,May,0,0,10,6
2023,4,April,0,0,11,19
2023,2,February,0,0,0,3
2023,1,January,4,0,0,1
2022,12,December,0,0,15,1
2022,11,November,4,2,11,4
2022,10,October,5,5,19,13
2022,9,September,2,0,5,9
2022,8,August,5,0,1,0
2022,7,July,12,12,3,5
2022,6,June,1,0,2,4
2022,5,May,0,4,0,1
2022,4,April,1,2,20,9
2022,3,March,0,1,7,2
2022,2,February,4,3,2,0
2021,12,December,0,0,0,1
2021,11,November,0,0,4,5
2021,10,October,1,4,5,9
2021,9,September,3,5,6,5
2021,8,August,5,1,1,0
2021,5,May,2,1,0,10
2021,3,March,3,0,8,2
2021,2,February,2,0,0,0
2020,12,December,0,0,0,2
2020,10,October,0,0,0,2
2019,10,October,0,0,2,0
2019,8,August,0,0,2,0
2019,7,July,0,2,0,0
2019,6,June,0,0,3,0
2019,5,May,0,0,2,0
2019,4,April,0,0,2,0
2019,3,March,0,0,3,0
