Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,3,0,0
2025,7,July,4,0,0,0
2025,6,June,1,0,0,0
2025,5,May,1,4,0,0
2025,4,April,6,5,0,0
2024,10,October,7,1,0,0
2024,9,September,9,9,0,0
2024,8,August,3,1,0,0
2024,7,July,0,0,1,2
2024,6,June,0,0,0,1
2024,5,May,1,0,0,1
2024,4,April,1,1,0,0
2023,10,October,0,0,0,2
2023,9,September,4,8,0,0
2023,8,August,2,3,1,1
2023,7,July,0,0,1,2
2023,6,June,3,0,7,1
2023,5,May,0,0,2,2
2023,4,April,1,0,0,0
2022,10,October,1,1,0,0
2022,9,September,0,0,0,3
2022,8,August,4,4,0,0
2022,7,July,3,2,0,0
2021,9,September,0,1,0,0
2019,10,October,1,1,0,0
2019,9,September,8,7,3,2
2019,8,August,1,1,7,0
2019,7,July,5,2,1,1
2019,6,June,8,1,0,0
2019,5,May,0,1,0,0
2019,4,April,0,0,1,1
2019,1,January,0,0,2,0
