Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,28,24
2025,7,July,0,7,55,10
2025,6,June,0,2,42,14
2025,5,May,0,18,50,2
2025,4,April,0,0,45,14
2025,3,March,0,0,60,18
2025,2,February,0,12,58,35
2025,1,January,7,2,63,27
2024,12,December,8,11,39,0
2024,11,November,15,16,45,14
2024,10,October,0,11,20,9
2024,9,September,4,6,22,9
2024,8,August,0,4,33,1
2024,7,July,0,9,33,0
2024,6,June,0,0,63,9
2024,5,May,2,1,70,14
2024,4,April,0,9,11,23
2024,3,March,0,18,93,28
2024,2,February,0,1,41,12
2024,1,January,0,23,48,3
2023,12,December,0,7,34,12
2023,11,November,10,5,29,20
2023,10,October,1,6,40,14
2023,9,September,1,6,16,20
2023,8,August,6,13,78,2
2023,7,July,0,1,50,11
2023,6,June,0,5,46,11
2023,5,May,1,6,45,16
2023,4,April,0,4,19,19
2023,3,March,2,12,73,3
2023,2,February,0,5,56,8
2023,1,January,3,7,31,6
2022,12,December,0,19,54,0
2022,11,November,4,12,37,8
2022,10,October,2,4,33,0
2022,9,September,0,1,16,6
2022,8,August,14,4,25,0
2022,7,July,2,1,43,14
2022,6,June,2,9,23,0
2022,5,May,0,5,59,25
2022,4,April,0,0,23,14
2022,3,March,0,6,15,0
2022,2,February,0,3,40,10
2022,1,January,13,8,40,6
2021,12,December,0,4,37,2
2021,11,November,0,6,19,2
2021,10,October,0,0,13,8
2021,9,September,0,3,13,7
2021,8,August,5,8,22,12
2021,7,July,0,2,33,18
2021,6,June,0,0,19,0
2021,5,May,2,10,15,4
2021,4,April,0,4,8,12
2021,3,March,13,6,26,0
2021,2,February,0,1,11,0
2021,1,January,4,5,33,7
2020,12,December,0,0,19,2
2020,11,November,0,0,31,0
2020,10,October,0,1,5,0
2020,9,September,31,3,26,99
2020,8,August,3,3,8,0
2020,7,July,0,0,22,0
2020,3,March,0,0,28,10
2020,2,February,0,6,15,0
2020,1,January,2,6,20,20
2019,12,December,0,2,17,32
2019,11,November,0,2,15,2
2019,10,October,0,4,23,3
2019,9,September,0,2,6,6
2019,8,August,0,0,18,3
2019,7,July,0,19,62,42
2019,6,June,0,0,35,7
2019,5,May,0,3,43,9
2019,4,April,0,1,45,17
2019,3,March,0,6,93,37
2019,2,February,0,7,20,0
2019,1,January,0,11,20,0
