Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,776,902,1644,1961
2025,7,July,743,793,2000,2243
2025,6,June,574,582,2084,2179
2025,5,May,360,308,1248,1318
2025,4,April,86,88,856,1041
2025,3,March,325,134,896,1007
2025,2,February,69,75,532,694
2025,1,January,93,178,812,684
2024,12,December,143,79,664,762
2024,11,November,120,132,625,819
2024,10,October,35,58,671,482
2024,9,September,76,78,470,561
2024,8,August,89,97,667,622
2024,7,July,118,87,827,670
2024,6,June,74,62,699,806
2024,5,May,94,104,882,704
2024,4,April,103,101,714,689
2024,3,March,133,122,825,804
2024,2,February,117,112,792,781
2024,1,January,97,106,889,885
2023,12,December,114,51,917,926
2023,11,November,104,61,701,558
2023,10,October,83,64,556,800
2023,9,September,61,67,814,748
2023,8,August,120,84,742,772
2023,7,July,83,57,849,950
2023,6,June,127,100,1089,1066
2023,5,May,75,65,777,751
2023,4,April,68,89,1027,843
2023,3,March,106,121,1000,1142
2023,2,February,84,87,761,725
2023,1,January,76,101,831,823
2022,12,December,88,85,946,860
2022,11,November,104,84,627,701
2022,10,October,83,58,730,633
2022,9,September,77,86,441,484
2022,8,August,91,109,555,545
2022,7,July,95,111,962,672
2022,6,June,209,228,640,711
2022,5,May,76,110,769,510
2022,4,April,124,93,712,662
2022,3,March,142,144,881,561
2022,2,February,74,103,491,361
2022,1,January,50,57,424,439
2021,12,December,67,50,598,524
2021,11,November,83,45,440,427
2021,10,October,67,71,480,498
2021,9,September,77,58,222,297
2021,8,August,81,22,407,279
2021,7,July,58,61,616,491
2021,6,June,49,56,447,405
2021,5,May,124,55,373,357
2021,4,April,89,66,317,305
2021,3,March,62,61,284,403
2021,2,February,27,22,129,163
2021,1,January,25,55,408,275
2020,12,December,56,63,338,268
2020,11,November,84,34,157,160
2020,10,October,33,19,144,167
2020,9,September,41,40,193,186
2020,8,August,28,4,143,121
2020,7,July,27,33,139,198
2020,6,June,5,23,106,112
2020,5,May,8,9,53,44
2020,4,April,11,893,63,43
2020,3,March,102,102,425,616
2020,2,February,79,107,631,496
2020,1,January,94,135,699,798
2019,12,December,206,110,658,520
2019,11,November,74,133,1013,882
2019,10,October,69,84,659,680
2019,9,September,59,50,688,462
2019,8,August,49,76,661,607
2019,7,July,352,52,710,735
2019,6,June,68,73,746,555
2019,5,May,71,100,817,589
2019,4,April,999,996,1132,784
2019,3,March,1198,1204,1258,1092
2019,2,February,1060,882,804,759
2019,1,January,667,664,848,757
